organism,locus_tag,gene_name,length_aa,has_structure,fail_reason,rmsd_post_eq_nm,bonds_preserved_frac,temp_stability_score,overall_stability_score
syn3a,JCVISYN3A_0836,ecfS,308,False,,,,,
syn3a,JCVISYN3A_0837,cysRS,441,False,,,,,
syn3a,JCVISYN3A_0838,rlmB,244,False,,,,,
syn3a,JCVISYN3A_0932,rpmG,53,False,,,,,
syn3a,JCVISYN3A_0839,secE,107,False,,,,,
syn3a,JCVISYN3A_0840,nusG,213,False,,,,,
syn3a,JCVISYN3A_0851,Uncharacterized lipoprotein,60,False,,,,,
syn3a,JCVISYN3A_0852,Uncharacterized protein,76,False,,,,,
syn3a,JCVISYN3A_0853,Uncharacterized protein,239,False,,,,,
syn3a,JCVISYN3A_0859,topA,653,False,,,,,
syn3a,JCVISYN3A_0870,Uncharacterized C4-dicarboxyla,588,False,,,,,
syn3a,JCVISYN3A_0872,ychF,364,False,,,,,
syn3a,JCVISYN3A_0873,Uncharacterized protein,66,False,,,,,
syn3a,JCVISYN3A_0874,rsmG,231,False,,,,,
syn3a,JCVISYN3A_0875,pgsA,198,False,,,,,
syn3a,JCVISYN3A_0876,Uncharacterized amino acid per,526,False,,,,,
syn3a,JCVISYN3A_0877,Uncharacterized protein,226,False,,,,,
syn3a,JCVISYN3A_0878,Uncharacterized amino acid per,512,False,,,,,
syn3a,JCVISYN3A_0879,corA,885,False,,,,,
syn3a,JCVISYN3A_0881,Uncharacterized MFS transporte,475,False,,,,,
syn3a,JCVISYN3A_0885,mnmG; gidA,629,False,,,,,
syn3a,JCVISYN3A_0886,gltP,525,False,,,,,
syn3a,JCVISYN3A_0887,cdr,447,False,,,,,
syn3a,JCVISYN3A_0906,Uncharacterized protein,238,False,,,,,
syn3a,JCVISYN3A_0907,Uncharacterized hydrolase,264,False,,,,,
syn3a,JCVISYN3A_0908,yidC,396,False,,,,,
syn3a,JCVISYN3A_0909,rnpA,109,False,,,,,
syn3a,JCVISYN3A_0910,rpmH,44,False,,,,,
