org_a,locus_a,org_b,locus_b,identity
abaylyi,ACIAD3204,mpne,MPN180,0.415
abaylyi,ACIAD3204,mgenitalium,MG_166,0.398
abaylyi,ACIAD3237,ccrescentus,CCNA_01408,0.325
mtuberculosis,Rv0111,saureus,SA2354,0.342
abaylyi,ACIAD1945,mtuberculosis,Rv0482,0.325
mtuberculosis,Rv0482,styphimurium,murB,0.333
abaylyi,ACIAD1215,mtuberculosis,Rv0820,0.601
ccrescentus,CCNA_00294,mtuberculosis,Rv0820,0.584
mtuberculosis,Rv0820,saureus,pstB,0.548
mtuberculosis,Rv0820,syn3a,JCVISYN3A_0427,0.509
mgenitalium,MG_410,mtuberculosis,Rv0820,0.448
mtuberculosis,Rv1011,saureus,SA0453,0.335
saureus,SA1537,styphimurium,thiI,0.303
mpne,MPN550,styphimurium,thiI,0.313
mtuberculosis,Rv0073,styphimurium,glnQ,0.425
mgenitalium,MG_155,mpne,MPN169,0.942
mpne,MPN169,saureus,rpsS,0.67
mpne,MPN169,mtuberculosis,Rv0705,0.65
mpne,MPN169,styphimurium,rpsS,0.574
mpne,MPN169,syn3a,JCVISYN3A_0667,0.65
abaylyi,ACIAD3215,mpne,MPN169,0.59
ccrescentus,CCNA_01310,mpne,MPN169,0.574
mgenitalium,MG_095,mpne,MPN233,0.498
mgenitalium,MG_212,mpne,MPN299,0.676
mpne,MPN299,syn3a,JCVISYN3A_0512,0.377
mgenitalium,MG_305,mpne,MPN434,0.929
mpne,MPN434,syn3a,JCVISYN3A_0542,0.579
mpne,MPN434,saureus,dnaK,0.565
mpne,MPN434,mtuberculosis,Rv0350,0.542
mpne,MPN434,styphimurium,dnaK,0.508
ccrescentus,CCNA_00010,mpne,MPN434,0.544
abaylyi,ACIAD3654,mpne,MPN434,0.515
abaylyi,ACIAD1227,styphimurium,surE,0.456
abaylyi,ACIAD1227,ccrescentus,CCNA_02077,0.364
abaylyi,ACIAD1364,styphimurium,ynfA,0.591
abaylyi,ACIAD1364,mtuberculosis,Rv2639c,0.35
abaylyi,ACIAD1580,ccrescentus,CCNA_03640,0.383
abaylyi,ACIAD1580,mtuberculosis,Rv0688,0.346
abaylyi,ACIAD1750,styphimurium,STM0360,0.614
abaylyi,ACIAD1750,saureus,SA0937,0.332
saureus,SA0998,styphimurium,yggV,0.465
abaylyi,ACIAD0526,saureus,SA0998,0.442
mtuberculosis,Rv1341,saureus,SA0998,0.378
ccrescentus,CCNA_00145,saureus,SA0998,0.356
saureus,SA0998,syn3a,JCVISYN3A_0549,0.333
saureus,SA1436,styphimurium,ybgK,0.332
ccrescentus,CCNA_01101,saureus,infC,0.481
saureus,infC,styphimurium,infC,0.532
mtuberculosis,Rv1641,saureus,infC,0.457
saureus,infC,syn3a,JCVISYN3A_0200,0.392
mpne,MPN115,saureus,infC,0.361
ccrescentus,CCNA_01326,mtuberculosis,Rv0732,0.411
mtuberculosis,Rv0732,styphimurium,secY,0.423
mtuberculosis,Rv0732,saureus,secY,0.393
abaylyi,ACIAD3199,mtuberculosis,Rv0732,0.383
mgenitalium,MG_170,mtuberculosis,Rv0732,0.331
mpne,MPN184,mtuberculosis,Rv0732,0.335
abaylyi,ACIAD2935,mtuberculosis,Rv3834c,0.385
mtuberculosis,Rv3834c,syn3a,JCVISYN3A_0061,0.423
mpne,MPN005,mtuberculosis,Rv3834c,0.346
ccrescentus,CCNA_02078,mtuberculosis,Rv3834c,0.323
mgenitalium,MG_005,mtuberculosis,Rv3834c,0.315
saureus,accA,styphimurium,accA,0.532
ccrescentus,CCNA_03090,styphimurium,accA,0.495
abaylyi,ACIAD3035,styphimurium,accA,0.561
abaylyi,ACIAD1825,ccrescentus,CCNA_01882,0.491
abaylyi,ACIAD1996,styphimurium,ispF,0.54
abaylyi,ACIAD1996,mtuberculosis,Rv3581c,0.444
abaylyi,ACIAD2071,styphimurium,ychF,0.702
abaylyi,ACIAD2071,saureus,SA0351,0.594
abaylyi,ACIAD2071,ccrescentus,CCNA_00512,0.579
abaylyi,ACIAD2071,mtuberculosis,Rv1112,0.512
abaylyi,ACIAD2071,mgenitalium,MG_024,0.494
mgenitalium,MG_365,mpne,MPN543,0.667
mpne,MPN543,saureus,SA1059,0.305
mpne,MPN543,syn3a,JCVISYN3A_0390,0.315
abaylyi,ACIAD3013,styphimurium,rpsI,0.769
ccrescentus,CCNA_01441,styphimurium,rpsI,0.55
saureus,rpsI,styphimurium,rpsI,0.507
mtuberculosis,Rv3442c,styphimurium,rpsI,0.52
mgenitalium,MG_417,styphimurium,rpsI,0.469
saureus,SA2160,styphimurium,yhdH,0.395
abaylyi,ACIAD0027,ccrescentus,CCNA_02888,0.694
abaylyi,ACIAD0463,ccrescentus,CCNA_00196,0.63
abaylyi,ACIAD0463,styphimurium,leuC,0.611
abaylyi,ACIAD0463,mtuberculosis,Rv2988c,0.567
abaylyi,ACIAD0463,saureus,leuC,0.541
abaylyi,ACIAD2426,saureus,qoxB,0.499
saureus,qoxB,styphimurium,cyoB,0.5
ccrescentus,CCNA_01850,saureus,qoxB,0.478
mtuberculosis,Rv3043c,saureus,qoxB,0.459
abaylyi,ACIAD1660,mtuberculosis,Rv0400c,0.477
mtuberculosis,Rv0400c,saureus,SA0225,0.324
ccrescentus,CCNA_01627,styphimurium,acpS,0.359
ccrescentus,CCNA_01627,saureus,dpj,0.32
ccrescentus,CCNA_02628,saureus,SA0693,0.355
ccrescentus,CCNA_02754,mtuberculosis,Rv0074,0.319
ccrescentus,CCNA_03684,styphimurium,yadF,0.505
abaylyi,ACIAD3090,ccrescentus,CCNA_03781,0.628
ccrescentus,CCNA_03781,mtuberculosis,Rv1475c,0.561
ccrescentus,CCNA_03781,saureus,citB,0.543
mtuberculosis,Rv3716c,saureus,SA0437,0.417
saureus,SA0437,styphimurium,ybaB,0.376
abaylyi,ACIAD2313,saureus,SA0437,0.362
abaylyi,ACIAD2853,saureus,ftsH,0.5
ccrescentus,CCNA_03334,saureus,ftsH,0.488
saureus,ftsH,styphimurium,hflB,0.483
mtuberculosis,Rv3610c,saureus,ftsH,0.544
saureus,ftsH,syn3a,JCVISYN3A_0039,0.473
mpne,MPN671,saureus,ftsH,0.518
mgenitalium,MG_457,saureus,ftsH,0.516
saureus,rpsE,syn3a,JCVISYN3A_0654,0.61
mgenitalium,MG_168,syn3a,JCVISYN3A_0654,0.553
mpne,MPN182,syn3a,JCVISYN3A_0654,0.54
ccrescentus,CCNA_01323,syn3a,JCVISYN3A_0654,0.512
mtuberculosis,Rv0721,syn3a,JCVISYN3A_0654,0.52
styphimurium,rpsE,syn3a,JCVISYN3A_0654,0.474
abaylyi,ACIAD3202,syn3a,JCVISYN3A_0654,0.503
mgenitalium,MG_139,mpne,MPN280,0.882
mgenitalium,MG_139,syn3a,JCVISYN3A_0600,0.408
mgenitalium,MG_139,saureus,SA0940,0.384
mgenitalium,MG_139,mtuberculosis,Rv2752c,0.304
mgenitalium,MG_294,mpne,MPN421,0.782
mgenitalium,MG_454,mpne,MPN668,0.635
ccrescentus,CCNA_00963,mgenitalium,MG_454,0.325
mgenitalium,MG_454,saureus,SA0755,0.323
abaylyi,ACIAD3023,mgenitalium,MG_454,0.304
ccrescentus,CCNA_00850,styphimurium,acrB,0.669
abaylyi,ACIAD2944,ccrescentus,CCNA_00850,0.617
abaylyi,ACIAD3022,saureus,SA2174,0.39
abaylyi,ACIAD3395,saureus,hisB,0.447
saureus,hisB,styphimurium,hisB,0.435
ccrescentus,CCNA_03850,saureus,hisB,0.425
saureus,hisB,syn3a,JCVISYN3A_0918,0.415
mtuberculosis,Rv1601,saureus,hisB,0.348
abaylyi,ACIAD2361,styphimurium,holB,0.324
ccrescentus,CCNA_03658,styphimurium,trpB,0.569
abaylyi,ACIAD0636,styphimurium,trpB,0.54
mtuberculosis,Rv1612,styphimurium,trpB,0.557
saureus,trpB,styphimurium,trpB,0.503
abaylyi,ACIAD0273,ccrescentus,CCNA_02663,0.495
ccrescentus,CCNA_02663,styphimurium,dksA,0.464
ccrescentus,CCNA_03655,styphimurium,folC,0.35
ccrescentus,CCNA_03655,mtuberculosis,Rv2447c,0.347
abaylyi,ACIAD0644,ccrescentus,CCNA_03655,0.367
ccrescentus,CCNA_03655,saureus,folC,0.348
ccrescentus,CCNA_01667,saureus,kdpE(SCCmec),0.385
abaylyi,ACIAD2290,styphimurium,cydA,0.712
ccrescentus,CCNA_00800,styphimurium,cydA,0.58
abaylyi,ACIAD0064,styphimurium,mviN,0.424
abaylyi,ACIAD0401,styphimurium,rpsO,0.685
ccrescentus,CCNA_00034,styphimurium,rpsO,0.584
mtuberculosis,Rv2785c,styphimurium,rpsO,0.516
styphimurium,rpsO,syn3a,JCVISYN3A_0294,0.494
mgenitalium,MG_424,styphimurium,rpsO,0.478
mpne,MPN622,styphimurium,rpsO,0.5
ccrescentus,CCNA_02341,styphimurium,ibpA,0.54
abaylyi,ACIAD3053,styphimurium,ibpA,0.456
abaylyi,ACIAD0173,styphimurium,rthB,0.396
ccrescentus,CCNA_02092,styphimurium,rthB,0.339
abaylyi,ACIAD0824,ccrescentus,CCNA_02520,0.365
abaylyi,ACIAD3354,styphimurium,aroK,0.535
ccrescentus,CCNA_03103,styphimurium,aroK,0.385
mtuberculosis,Rv2539c,styphimurium,aroK,0.384
saureus,SA1368,styphimurium,aroK,0.361
saureus,SA0036,styphimurium,ugpQ,0.329
abaylyi,ACIAD3648,styphimurium,STM4032,0.326
ccrescentus,CCNA_00810,styphimurium,STM4032,0.327
mtuberculosis,Rv2970c,styphimurium,STM4032,0.35
abaylyi,ACIAD0409,styphimurium,priA,0.435
saureus,priA,styphimurium,priA,0.34
ccrescentus,CCNA_00351,styphimurium,priA,0.347
abaylyi,ACIAD3449,styphimurium,ssb,0.48
abaylyi,ACIAD3449,ccrescentus,CCNA_01535,0.441
abaylyi,ACIAD3449,saureus,ssb,0.33
mgenitalium,MG_018,mpne,MPN020,0.616
abaylyi,ACIAD0188,mtuberculosis,Rv1311,0.372
mtuberculosis,Rv1437,saureus,pgk,0.441
mtuberculosis,Rv1437,syn3a,JCVISYN3A_0606,0.433
mtuberculosis,Rv1437,styphimurium,pgk,0.423
mgenitalium,MG_300,mtuberculosis,Rv1437,0.423
ccrescentus,CCNA_03359,mtuberculosis,Rv1437,0.406
mpne,MPN429,mtuberculosis,Rv1437,0.404
abaylyi,ACIAD1927,mtuberculosis,Rv1437,0.385
mtuberculosis,Rv2222c,saureus,glnA,0.427
abaylyi,ACIAD2528,mtuberculosis,Rv2222c,0.334
mgenitalium,MG_019,mpne,MPN021,0.748
abaylyi,ACIAD3621,mgenitalium,MG_019,0.364
mgenitalium,MG_019,saureus,dnaJ,0.364
mgenitalium,MG_019,syn3a,JCVISYN3A_0541,0.348
ccrescentus,CCNA_00011,mgenitalium,MG_019,0.306
mgenitalium,MG_019,mtuberculosis,Rv2373c,0.316
mgenitalium,MG_300,mpne,MPN429,0.699
mgenitalium,MG_300,syn3a,JCVISYN3A_0606,0.548
mgenitalium,MG_300,saureus,pgk,0.473
mgenitalium,MG_300,styphimurium,pgk,0.383
abaylyi,ACIAD1927,mgenitalium,MG_300,0.372
ccrescentus,CCNA_03359,mgenitalium,MG_300,0.376
mgenitalium,MG_460,mpne,MPN674,0.826
mgenitalium,MG_460,syn3a,JCVISYN3A_0475,0.452
mgenitalium,MG_460,saureus,SA2395,0.416
abaylyi,ACIAD3386,saureus,SA1868,0.414
saureus,SA1868,styphimurium,yhgF,0.422
mtuberculosis,Rv0440,saureus,groEL,0.594
ccrescentus,CCNA_00721,mtuberculosis,Rv0440,0.576
mtuberculosis,Rv0440,styphimurium,mopA,0.589
abaylyi,ACIAD2838,mtuberculosis,Rv0440,0.589
mgenitalium,MG_392,mtuberculosis,Rv0440,0.455
mpne,MPN573,mtuberculosis,Rv0440,0.448
mtuberculosis,Rv0652,saureus,rplL,0.552
abaylyi,ACIAD0306,mtuberculosis,Rv0652,0.566
ccrescentus,CCNA_00531,mtuberculosis,Rv0652,0.523
mtuberculosis,Rv0652,styphimurium,rplL,0.496
mtuberculosis,Rv0684,saureus,fus,0.612
ccrescentus,CCNA_03304,mtuberculosis,Rv0684,0.607
mtuberculosis,Rv0684,syn3a,JCVISYN3A_0150,0.593
mtuberculosis,Rv0684,styphimurium,fusA,0.587
abaylyi,ACIAD0884,mtuberculosis,Rv0684,0.566
mgenitalium,MG_089,mtuberculosis,Rv0684,0.575
mtuberculosis,Rv1281c,styphimurium,yliA,0.452
mtuberculosis,Rv1281c,saureus,oppD,0.439
mpne,MPN217,mtuberculosis,Rv1281c,0.328
mgenitalium,MG_079,mtuberculosis,Rv1281c,0.339
mgenitalium,MG_362,mpne,MPN539,0.909
mgenitalium,MG_362,saureus,rplL,0.474
mgenitalium,MG_362,syn3a,JCVISYN3A_0806,0.462
mgenitalium,MG_362,styphimurium,rplL,0.426
mgenitalium,MG_392,mpne,MPN573,0.852
mgenitalium,MG_392,saureus,groEL,0.474
ccrescentus,CCNA_00721,mgenitalium,MG_392,0.454
abaylyi,ACIAD2838,mgenitalium,MG_392,0.42
mgenitalium,MG_392,styphimurium,mopA,0.429
abaylyi,ACIAD3636,mtuberculosis,Rv0189c,0.495
ccrescentus,CCNA_03139,mtuberculosis,Rv0189c,0.417
mtuberculosis,Rv0189c,styphimurium,STM3531,0.394
mtuberculosis,Rv1283c,saureus,oppB,0.322
mtuberculosis,Rv1658,saureus,argG,0.48
ccrescentus,CCNA_00128,mtuberculosis,Rv1658,0.4
mtuberculosis,Rv1658,styphimurium,argG,0.302
ccrescentus,CCNA_02734,styphimurium,cysE,0.542
ccrescentus,CCNA_02734,mtuberculosis,Rv2335,0.462
abaylyi,ACIAD2091,ccrescentus,CCNA_02734,0.49
mtuberculosis,Rv1381,saureus,pyrC,0.381
ccrescentus,CCNA_00392,saureus,pyrC,0.314
saureus,pyrC,styphimurium,allB,0.3
saureus,SA1326,syn3a,JCVISYN3A_0327,0.321
saureus,tag,styphimurium,tag,0.398
ccrescentus,CCNA_00386,saureus,tag,0.435
abaylyi,ACIAD3611,saureus,tag,0.357
abaylyi,ACIAD2086,styphimurium,yeaA,0.59
abaylyi,ACIAD2086,mtuberculosis,Rv2674,0.503
abaylyi,ACIAD2086,saureus,SA1256,0.484
abaylyi,ACIAD2086,ccrescentus,CCNA_02265,0.504
abaylyi,ACIAD2086,mgenitalium,MG_448,0.455
abaylyi,ACIAD2086,mpne,MPN662,0.455
abaylyi,ACIAD2227,styphimurium,dctA,0.716
abaylyi,ACIAD2227,ccrescentus,CCNA_00664,0.574
abaylyi,ACIAD2227,mtuberculosis,Rv2443,0.458
abaylyi,ACIAD2340,styphimurium,ybjE,0.366
abaylyi,ACIAD3560,styphimurium,psd,0.444
abaylyi,ACIAD3599,styphimurium,STM0354,0.317
mgenitalium,MG_175,mpne,MPN189,0.887
mpne,MPN189,syn3a,JCVISYN3A_0647,0.658
mpne,MPN189,mtuberculosis,Rv3460c,0.57
mpne,MPN189,styphimurium,rpsM,0.56
abaylyi,ACIAD3197,mpne,MPN189,0.534
ccrescentus,CCNA_01835,styphimurium,ybbA,0.517
mtuberculosis,Rv1379,saureus,pyrR,0.449
ccrescentus,CCNA_00769,mtuberculosis,Rv1474c,0.384
ccrescentus,CCNA_01234,mtuberculosis,Rv2407,0.329
ccrescentus,CCNA_01961,mtuberculosis,Rv2501c,0.512
abaylyi,ACIAD1736,mtuberculosis,Rv2501c,0.483
mtuberculosis,Rv2501c,saureus,accC,0.467
abaylyi,ACIAD1971,mtuberculosis,Rv2846c,0.323
mtuberculosis,Rv3065,styphimurium,STM1653,0.39
abaylyi,ACIAD0691,mtuberculosis,Rv3065,0.327
mgenitalium,MG_380,mpne,MPN558,0.586
saureus,tmk,syn3a,JCVISYN3A_0045,0.423
mgenitalium,MG_006,syn3a,JCVISYN3A_0045,0.455
abaylyi,ACIAD2588,syn3a,JCVISYN3A_0045,0.412
ccrescentus,CCNA_01900,syn3a,JCVISYN3A_0045,0.344
mpne,MPN006,syn3a,JCVISYN3A_0045,0.396
saureus,ctrA,syn3a,JCVISYN3A_0129,0.548
styphimurium,pyrG,syn3a,JCVISYN3A_0129,0.497
mtuberculosis,Rv1699,syn3a,JCVISYN3A_0129,0.471
abaylyi,ACIAD2003,syn3a,JCVISYN3A_0129,0.475
ccrescentus,CCNA_01791,syn3a,JCVISYN3A_0129,0.44
saureus,SA1100,syn3a,JCVISYN3A_0539,0.455
mgenitalium,MG_433,syn3a,JCVISYN3A_0539,0.38
mpne,MPN631,syn3a,JCVISYN3A_0539,0.38
abaylyi,ACIAD2268,syn3a,JCVISYN3A_0539,0.389
styphimurium,tsf,syn3a,JCVISYN3A_0539,0.384
ccrescentus,CCNA_01999,syn3a,JCVISYN3A_0539,0.352
abaylyi,ACIAD1182,styphimurium,phrB,0.417
abaylyi,ACIAD1182,saureus,SA0646,0.357
abaylyi,ACIAD1489,styphimurium,STM2692,0.605
abaylyi,ACIAD1569,ccrescentus,CCNA_00820,0.611
abaylyi,ACIAD1569,mtuberculosis,Rv3556c,0.537
abaylyi,ACIAD1637,saureus,SA2317,0.478
abaylyi,ACIAD1637,styphimurium,yncA,0.397
abaylyi,ACIAD1637,ccrescentus,CCNA_00984,0.317
abaylyi,ACIAD3641,saureus,SA0417,0.348
mgenitalium,MG_086,mpne,MPN224,0.75
mgenitalium,MG_351,mpne,MPN528,0.82
mpne,MPN528,syn3a,JCVISYN3A_0344,0.488
mpne,MPN528,mtuberculosis,Rv3628,0.411
abaylyi,ACIAD0239,mpne,MPN528,0.364
mpne,MPN528,styphimurium,ppa,0.386
ccrescentus,CCNA_00045,mpne,MPN528,0.371
ccrescentus,CCNA_03344,styphimurium,ruvB,0.641
abaylyi,ACIAD2615,ccrescentus,CCNA_03344,0.607
ccrescentus,CCNA_03344,saureus,ruvB,0.549
ccrescentus,CCNA_03344,mtuberculosis,Rv2592c,0.546
ccrescentus,CCNA_03344,mgenitalium,MG_359,0.342
ccrescentus,CCNA_03344,mpne,MPN536,0.318
mtuberculosis,Rv1079,saureus,metB,0.453
ccrescentus,CCNA_03271,saureus,metB,0.396
abaylyi,ACIAD2314,saureus,metB,0.353
abaylyi,ACIAD0406,styphimurium,cbpA,0.372
abaylyi,ACIAD0406,ccrescentus,CCNA_02860,0.342
abaylyi,ACIAD0553,mtuberculosis,Rv0557,0.359
abaylyi,ACIAD0553,ccrescentus,CCNA_03455,0.303
abaylyi,ACIAD0734,styphimurium,nuoE,0.572
abaylyi,ACIAD0869,styphimurium,rpmF,0.649
abaylyi,ACIAD0869,ccrescentus,CCNA_01792,0.483
abaylyi,ACIAD0869,mpne,MPN540,0.562
abaylyi,ACIAD0869,mgenitalium,MG_363,0.52
abaylyi,ACIAD2307,ccrescentus,CCNA_01522,0.713
abaylyi,ACIAD2307,mtuberculosis,Rv0370c,0.334
abaylyi,ACIAD2447,styphimurium,purH,0.685
abaylyi,ACIAD2447,ccrescentus,CCNA_00084,0.522
abaylyi,ACIAD2447,mtuberculosis,Rv0957,0.455
abaylyi,ACIAD2833,styphimurium,htpX,0.506
abaylyi,ACIAD2833,ccrescentus,CCNA_02594,0.314
abaylyi,ACIAD2833,mtuberculosis,Rv0563,0.343
ccrescentus,CCNA_01740,styphimurium,rpsR,0.611
ccrescentus,CCNA_01740,saureus,rpsR,0.6
abaylyi,ACIAD2431,ccrescentus,CCNA_01740,0.597
ccrescentus,CCNA_01740,mtuberculosis,Rv0055,0.453
ccrescentus,CCNA_01740,mpne,MPN230,0.458
ccrescentus,CCNA_01740,mgenitalium,MG_092,0.405
ccrescentus,CCNA_01938,saureus,SA0774,0.572
ccrescentus,CCNA_01938,mtuberculosis,Rv1463,0.521
saureus,SA1973,styphimurium,yqfA,0.356
abaylyi,ACIAD2996,saureus,SA1973,0.351
saureus,SA2094,styphimurium,STM1556,0.353
mtuberculosis,Rv1215c,saureus,SA2380,0.355
mtuberculosis,Rv0009,saureus,SA0815,0.417
mtuberculosis,Rv0009,styphimurium,ppiB,0.331
ccrescentus,CCNA_01655,mtuberculosis,Rv0009,0.446
abaylyi,ACIAD1921,mtuberculosis,Rv0009,0.35
ccrescentus,CCNA_02465,mtuberculosis,Rv0322,0.404
mtuberculosis,Rv0478,saureus,SA1939,0.458
mtuberculosis,Rv0478,syn3a,JCVISYN3A_0732,0.432
mtuberculosis,Rv0478,styphimurium,deoC,0.349
abaylyi,ACIAD1277,mtuberculosis,Rv2319c,0.319
ccrescentus,CCNA_01674,mtuberculosis,Rv2411c,0.538
abaylyi,ACIAD2341,styphimurium,pyrF,0.586
ccrescentus,CCNA_00104,styphimurium,pyrF,0.362
abaylyi,ACIAD2261,styphimurium,yqcD,0.439
abaylyi,ACIAD3350,styphimurium,gltB,0.592
mtuberculosis,Rv3859c,styphimurium,gltB,0.437
ccrescentus,CCNA_03722,styphimurium,gltB,0.455
saureus,gltB,styphimurium,gltB,0.418
abaylyi,ACIAD2342,styphimurium,STM4042A,0.696
abaylyi,ACIAD0205,styphimurium,ego,0.352
ccrescentus,CCNA_03642,mtuberculosis,Rv3318,0.485
mtuberculosis,Rv3318,styphimurium,sdhA,0.489
abaylyi,ACIAD2880,mtuberculosis,Rv3318,0.467
mtuberculosis,Rv3318,saureus,sdhA,0.33
abaylyi,ACIAD1398,styphimurium,fdx,0.603
ccrescentus,CCNA_03639,styphimurium,fdx,0.401
saureus,SA0186,styphimurium,STM2570,0.376
abaylyi,ACIAD1229,styphimurium,STM3038,0.414
abaylyi,ACIAD0984,styphimurium,STM2175,0.319
abaylyi,ACIAD0540,styphimurium,pta,0.487
mtuberculosis,Rv0408,styphimurium,pta,0.372
ccrescentus,CCNA_01161,styphimurium,ydjN,0.326
ccrescentus,CCNA_01161,saureus,SA0368,0.328
abaylyi,ACIAD1191,ccrescentus,CCNA_01161,0.311
abaylyi,ACIAD0802,ccrescentus,CCNA_01288,0.386
ccrescentus,CCNA_01288,saureus,SA2222,0.307
saureus,SA2487,styphimurium,rarD,0.383
ccrescentus,CCNA_00254,saureus,SA2487,0.354
ccrescentus,CCNA_02321,mtuberculosis,Rv0391,0.536
abaylyi,ACIAD2314,mtuberculosis,Rv0391,0.448
abaylyi,ACIAD3339,mtuberculosis,Rv1862,0.303
mtuberculosis,Rv1862,saureus,SA0239,0.305
abaylyi,ACIAD0472,ccrescentus,CCNA_02428,0.72
ccrescentus,CCNA_02428,saureus,infA,0.652
ccrescentus,CCNA_02428,styphimurium,infA,0.657
ccrescentus,CCNA_02428,syn3a,JCVISYN3A_0649,0.614
ccrescentus,CCNA_02428,mtuberculosis,Rv3462c,0.547
ccrescentus,CCNA_02428,mpne,MPN187,0.507
ccrescentus,CCNA_02428,mgenitalium,MG_173,0.47
abaylyi,ACIAD1711,ccrescentus,CCNA_02491,0.424
ccrescentus,CCNA_02681,saureus,gid,0.502
ccrescentus,CCNA_02681,syn3a,JCVISYN3A_0434,0.386
mgenitalium,MG_434,mpne,MPN632,0.688
mpne,MPN632,saureus,smbA,0.356
mpne,MPN632,styphimurium,pyrH,0.341
mpne,MPN632,syn3a,JCVISYN3A_0537,0.378
ccrescentus,CCNA_01998,mpne,MPN632,0.316
abaylyi,ACIAD1372,mpne,MPN632,0.316
mpne,MPN252,syn3a,JCVISYN3A_0076,0.489
mgenitalium,MG_113,syn3a,JCVISYN3A_0076,0.473
styphimurium,asnS,syn3a,JCVISYN3A_0076,0.471
mgenitalium,MG_212,syn3a,JCVISYN3A_0512,0.321
saureus,rplQ,syn3a,JCVISYN3A_0644,0.479
ccrescentus,CCNA_01332,syn3a,JCVISYN3A_0644,0.443
mpne,MPN192,syn3a,JCVISYN3A_0644,0.372
mtuberculosis,Rv3456c,syn3a,JCVISYN3A_0644,0.375
styphimurium,rplQ,syn3a,JCVISYN3A_0644,0.41
mpne,MPN238,syn3a,JCVISYN3A_0687,0.392
abaylyi,ACIAD0822,syn3a,JCVISYN3A_0687,0.364
ccrescentus,CCNA_02518,syn3a,JCVISYN3A_0687,0.364
mgenitalium,MG_100,syn3a,JCVISYN3A_0687,0.367
mtuberculosis,Rv3009c,syn3a,JCVISYN3A_0687,0.333
abaylyi,ACIAD2224,styphimurium,iroE,0.364
abaylyi,ACIAD0265,styphimurium,dsbC,0.398
abaylyi,ACIAD3102,styphimurium,ilvC,0.401
mtuberculosis,Rv3001c,styphimurium,ilvC,0.339
ccrescentus,CCNA_02204,styphimurium,ilvC,0.386
saureus,ilvC,styphimurium,ilvC,0.336
mtuberculosis,Rv0983,styphimurium,htrA,0.393
mtuberculosis,Rv3324c,saureus,moaC,0.474
abaylyi,ACIAD2847,mtuberculosis,Rv3356c,0.435
ccrescentus,CCNA_01275,mtuberculosis,Rv3356c,0.429
mtuberculosis,Rv3356c,styphimurium,folD,0.433
mtuberculosis,Rv3356c,saureus,folD,0.431
mtuberculosis,Rv3356c,syn3a,JCVISYN3A_0684,0.392
mgenitalium,MG_013,mtuberculosis,Rv3356c,0.33
mpne,MPN017,mtuberculosis,Rv3356c,0.318
ccrescentus,CCNA_02399,mtuberculosis,Rv0881,0.37
ccrescentus,CCNA_02463,styphimurium,STM2914,0.312
ccrescentus,CCNA_03193,mtuberculosis,Rv0274,0.52
abaylyi,ACIAD2587,styphimurium,nadB,0.601
mtuberculosis,Rv1595,styphimurium,nadB,0.383
ccrescentus,CCNA_01637,styphimurium,parC,0.408
abaylyi,ACIAD3395,ccrescentus,CCNA_03850,0.51
abaylyi,ACIAD3395,styphimurium,hisB,0.476
abaylyi,ACIAD3395,syn3a,JCVISYN3A_0918,0.425
abaylyi,ACIAD3395,mtuberculosis,Rv1601,0.431
abaylyi,ACIAD3616,styphimurium,yafB,0.614
abaylyi,ACIAD3616,ccrescentus,CCNA_03541,0.392
abaylyi,ACIAD3616,saureus,SA2001,0.355
mgenitalium,MG_194,mpne,MPN105,0.674
mpne,MPN105,syn3a,JCVISYN3A_0529,0.376
mpne,MPN105,saureus,pheS,0.375
abaylyi,ACIAD3042,mpne,MPN105,0.384
mpne,MPN105,styphimurium,pheS,0.38
ccrescentus,CCNA_01096,mpne,MPN105,0.343
ccrescentus,CCNA_02015,mtuberculosis,Rv3158,0.381
ccrescentus,CCNA_02015,styphimurium,nuoN,0.327
abaylyi,ACIAD0743,ccrescentus,CCNA_02015,0.304
ccrescentus,CCNA_02209,mtuberculosis,Rv1912c,0.355
saureus,moaA,styphimurium,moaA,0.326
abaylyi,ACIAD1906,styphimurium,moaA,0.309
ccrescentus,CCNA_02650,styphimurium,ybjR,0.342
abaylyi,ACIAD1040,styphimurium,yneH,0.316
mtuberculosis,Rv2849c,styphimurium,btuR,0.392
saureus,SA0880,syn3a,JCVISYN3A_0685,0.314
saureus,pgsA,syn3a,JCVISYN3A_0875,0.388
mgenitalium,MG_114,saureus,pgsA,0.37
mpne,MPN253,saureus,pgsA,0.382
saureus,pgsA,styphimurium,pgsA,0.381
ccrescentus,CCNA_03002,saureus,pgsA,0.357
ccrescentus,CCNA_00011,saureus,dnaJ,0.465
abaylyi,ACIAD3621,saureus,dnaJ,0.488
mtuberculosis,Rv2373c,saureus,dnaJ,0.389
saureus,dnaJ,syn3a,JCVISYN3A_0541,0.373
mpne,MPN021,saureus,dnaJ,0.364
mtuberculosis,Rv2971,saureus,SA1606,0.435
abaylyi,ACIAD3281,saureus,SA1606,0.402
ccrescentus,CCNA_03541,saureus,SA1606,0.4
saureus,SA1857,styphimurium,yjeE,0.391
mgenitalium,MG_198,mpne,MPN117,0.764
mgenitalium,MG_198,syn3a,JCVISYN3A_0198,0.512
mgenitalium,MG_198,saureus,rplT,0.57
mgenitalium,MG_198,styphimurium,rplT,0.551
abaylyi,ACIAD3046,mgenitalium,MG_198,0.5
