locus,truth_DeJesus,conservation,n_orth,absent_from_feba,min_fit_sig
Rv2528c,0,0.0,6,0,0.0
Rv2534c,1,0.8409,44,1,0.0
Rv2535c,0,0.0,2,1,0.0
Rv2537c,1,0.6512,43,1,0.0
Rv2538c,1,0.619,21,1,0.0
Rv2539c,1,0.6552,29,1,0.0
Rv2555c,1,1.0,44,1,0.0
Rv2559c,0,0.0,43,0,0.0
Rv2566,0,0.0,15,0,0.0
Rv2568c,0,0.0,16,0,0.0
Rv2569c,0,0.05,20,0,1.227
Rv2572c,0,1.0,45,1,0.0
Rv2573,0,0.3333,6,0,0.0
Rv2575,0,0.0,9,0,0.0
Rv2577,0,0.0,2,0,0.0
Rv2580c,1,0.9429,35,1,0.0
Rv2581c,0,0.0,11,0,0.0
Rv2583c,0,0.4048,42,0,1.801
Rv2589,0,0.4839,31,0,1.632
Rv2592c,0,0.5778,45,1,0.0
Rv2593c,0,0.4583,24,1,0.0
Rv2594c,0,1.0,6,1,0.0
Rv2601,0,0.0,6,0,0.0
Rv2603c,0,0.3721,43,1,0.0
Rv2604c,0,0.0,2,1,0.0
Rv2605c,0,0.0,24,0,0.853
Rv2606c,0,1.0,2,0,2.248
Rv2607,0,0.8148,27,0,0.0
Rv2614c,1,0.9778,45,1,0.0
Rv2626c,0,0.0,2,0,0.0
Rv2631,0,0.5,2,0,0.0
Rv2639c,0,0.0,19,0,0.0
Rv2641,0,0.0,6,0,0.0
Rv2674,0,0.0323,31,0,1.053
Rv2678c,0,1.0,41,1,0.0
Rv2679,0,0.8571,7,0,0.0
Rv2682c,1,0.9778,45,1,0.0
Rv2688c,0,0.0,1,0,0.0
Rv2697c,1,0.619,21,1,0.0
Rv2704,0,0.0,4,0,0.0
Rv2705c,0,0.0,1,0,-1.185
Rv2710,1,1.0,2,1,0.0
Rv2713,0,0.5,18,0,-0.541
Rv2718c,0,0.2632,38,0,0.791
Rv2720,0,0.7895,19,1,0.0
Rv2724c,0,0.1538,13,0,0.0
Rv2725c,0,0.05,20,0,3.124
Rv2727c,1,0.1818,22,1,0.0
Rv2733c,0,0.1163,43,0,2.043
Rv2734,1,0.4,5,0,0.0
Rv2752c,0,0.2222,9,0,-0.743
Rv2753c,1,0.7742,31,1,0.0
Rv2756c,0,0.1429,7,0,0.0
Rv2763c,0,1.0,22,1,0.0
Rv2764c,0,0.9211,38,1,0.0
Rv2765,0,0.0,2,0,0.0
Rv2766c,0,1.0,4,0,0.0
Rv2771c,0,0.0,2,0,0.0
Rv2773c,0,1.0,2,1,0.0
Rv2776c,0,0.0833,12,0,0.0
Rv2779c,0,1.0,3,0,0.0
Rv2781c,0,0.5,2,0,-0.695
Rv2782c,0,0.0,5,0,-1.647
Rv2783c,0,0.6444,45,1,0.0
Rv2785c,0,0.9773,44,1,0.0
Rv2786c,1,1.0,28,1,0.0
Rv2788,0,0.0,3,0,0.0
Rv2790c,0,1.0,2,0,0.0
Rv2793c,0,0.0,8,0,0.0
Rv2801c,0,0.0,1,0,0.0
Rv2829c,0,0.0,1,0,0.0
Rv2831,0,0.0,1,0,0.0
Rv2834c,0,0.0833,12,0,0.0
Rv2835c,0,0.3333,3,0,0.0
Rv2841c,1,0.0,1,1,0.0
Rv2845c,1,0.9706,34,1,0.0
Rv2847c,0,0.1111,9,1,0.0
Rv2848c,0,0.6,5,0,0.0
Rv2849c,0,0.2121,33,0,0.0
Rv2850c,0,0.0,3,0,0.0
Rv2851c,0,0.1667,18,0,1.578
Rv2852c,0,0.0909,22,0,0.0
Rv2856,1,0.0,11,0,0.0
Rv2857c,1,1.0,18,0,0.0
Rv2858c,0,0.4286,7,0,0.0
Rv2860c,0,0.8,5,0,0.0
Rv2861c,0,0.6842,38,1,0.0
Rv2868c,0,1.0,30,1,0.0
Rv2870c,0,1.0,45,1,0.0
Rv2882c,1,1.0,45,1,0.0
Rv2883c,1,1.0,45,1,0.0
Rv2887,0,1.0,3,0,0.0
Rv2888c,0,1.0,2,0,0.0
Rv2889c,1,1.0,32,1,0.0
Rv2890c,1,1.0,20,1,0.0
Rv2894c,0,0.25,4,1,0.0
Rv2897c,1,0.0,39,0,0.0
Rv2898c,0,0.0,5,1,0.0
Rv2900c,0,0.0,22,0,0.0
Rv2904c,1,1.0,34,1,0.0
Rv2906c,1,0.9535,43,1,0.0
Rv2908c,1,1.0,2,1,0.0
Rv2913c,0,0.0,1,0,0.0
Rv2916c,1,1.0,44,1,0.0
Rv2919c,0,0.5455,44,0,0.0
Rv2920c,0,0.0,37,0,0.0
Rv2922A,0,0.1429,7,1,0.0
Rv2924c,0,0.0,23,0,0.0
Rv2925c,1,0.7222,18,1,0.0
Rv2936,1,0.1667,6,0,1.533
Rv2963,0,0.0,2,0,0.0
Rv2964,0,0.1951,41,0,0.0
Rv2965c,0,1.0,43,1,0.0
Rv2966c,0,0.25,12,1,0.0
Rv2967c,1,0.0,6,0,4.391
Rv2970c,0,0.0,1,0,0.0
Rv2971,1,0.0417,24,1,0.0
Rv2976c,1,0.1515,33,0,0.0
Rv2981c,1,0.4545,11,1,0.0
Rv2982c,0,0.619,21,0,2.467
Rv2984,0,0.0,31,1,0.0
Rv2987c,1,0.175,40,1,0.0
Rv2988c,0,0.0698,43,1,0.0
Rv2992c,1,1.0,37,1,0.0
Rv2993c,0,0.0769,13,0,0.0
Rv2995c,1,0.5,46,1,0.0
Rv2996c,1,0.1111,9,1,0.0
Rv3001c,1,0.4848,33,1,0.0
Rv3002c,1,0.1364,44,1,0.0
Rv3003c,1,0.2609,46,1,0.0
Rv3009c,1,0.9722,36,1,0.0
Rv3010c,0,0.25,12,0,2.724
Rv3011c,1,1.0,34,1,0.0
Rv3012c,0,1.0,6,1,0.0
Rv3014c,1,0.9643,28,1,0.0
Rv3024c,0,1.0,25,1,0.0
Rv3025c,1,0.9189,37,1,0.0
Rv3027c,0,0.0,8,0,0.0
Rv3028c,0,0.8108,37,1,0.0
Rv3042c,1,0.0833,12,1,0.0
Rv3043c,1,0.2286,35,1,0.0
Rv3045,0,0.4545,33,0,2.317
Rv3048c,1,1.0,5,1,0.0
Rv3049c,0,0.1429,7,0,0.0
Rv3051c,1,1.0,5,1,0.0
Rv3052c,0,0.0,5,1,0.0
Rv3053c,0,0.2,5,1,0.0
Rv3054c,0,0.0,4,0,0.0
Rv3056,0,0.5,2,0,0.0
Rv3063,0,0.0476,21,0,0.0
Rv3064c,0,0.0,2,0,0.0
Rv3065,0,0.0,2,0,-1.662
Rv3068c,0,1.0,23,0,0.73
Rv3070,0,0.6,5,0,0.0
Rv3073c,0,0.0,8,0,0.0
Rv3083,0,0.0,1,0,-1.381
Rv3084,0,0.0,1,0,0.0
Rv3085,0,1.0,5,0,0.0
Rv3086,0,0.5333,15,0,-0.689
Rv3089,0,0.0,4,0,0.0
Rv3092c,0,0.0909,22,0,0.0
Rv3094c,0,0.0,3,0,0.0
Rv3095,0,0.0,3,0,0.0
Rv3096,0,0.0,2,0,0.0
Rv3100c,0,0.7556,45,1,0.0
Rv3102c,0,1.0,32,0,6.24
Rv3105c,1,0.9048,21,1,0.0
Rv3107c,0,0.0,3,0,0.0
Rv3109,1,0.0526,19,0,0.0
Rv3112,1,0.0,1,1,0.0
Rv3116,0,0.0,2,0,0.0
Rv3119,0,0.125,8,0,0.0
Rv3121,0,0.0,1,0,0.0
Rv3133c,0,0.625,24,0,-1.207
Rv3138,0,0.0,7,0,0.0
Rv3141,0,0.5,24,0,0.0
Rv3145,0,0.8,10,0,2.781
Rv3146,0,0.9167,12,0,2.347
Rv3148,0,0.8571,21,0,2.894
Rv3150,0,0.8857,35,0,3.014
Rv3152,0,1.0,10,0,2.549
Rv3155,0,0.8857,35,1,0.0
Rv3156,0,0.7742,31,0,2.697
Rv3157,0,0.9444,18,0,2.573
Rv3164c,0,0.0,12,0,0.0
Rv3170,0,0.0,2,0,0.0
Rv3174,0,1.0,7,0,0.0
Rv3175,0,1.0,1,0,0.0
Rv3177,1,0.6,5,0,0.0
Rv3182,0,0.0,2,0,0.0
Rv3200c,0,0.0,2,0,3.391
Rv3204,0,0.0,5,0,0.0
Rv3206c,0,0.2,5,1,0.0
Rv3211,0,0.0,1,1,0.0
Rv3215,0,0.0,7,1,0.0
Rv3223c,0,0.0,2,0,0.0
Rv3224,0,0.0,6,0,0.0
Rv3229c,1,0.0,1,0,2.824
Rv3232c,0,0.0,10,0,0.0
Rv3238c,0,0.0,1,0,0.0
Rv3240c,1,1.0,40,1,0.0
Rv3246c,1,0.8333,6,1,0.0
Rv3248c,1,0.8158,38,1,0.0
Rv3250c,0,0.4167,24,1,0.0
Rv3252c,0,0.0,3,0,0.0
Rv3253c,0,0.0,4,0,0.0
Rv3255c,1,0.0,5,1,0.0
Rv3257c,1,0.9,10,1,0.0
Rv3261,0,0.0,1,0,2.635
Rv3266c,0,0.3846,13,1,0.0
Rv3272,0,0.0,1,0,1.175
Rv3274c,0,0.0667,30,1,0.0
Rv3275c,1,0.7812,32,1,0.0
Rv3276c,0,1.0,1,1,0.0
Rv3280,0,0.1538,13,1,0.0
Rv3282,0,0.0,1,0,0.0
Rv3285,1,0.0,2,1,0.0
Rv3291c,0,0.5714,14,0,1.02
Rv3292,0,0.0,11,0,0.0
Rv3293,0,0.2083,24,0,0.0
Rv3300c,0,0.0,7,0,0.0
Rv3302c,0,0.0,3,1,0.0
Rv3305c,0,0.1429,14,0,0.0
Rv3307,0,0.0,10,0,0.0
Rv3308,0,1.0,6,0,0.0
Rv3309c,0,0.0476,42,0,0.0
Rv3314c,0,0.0,12,0,0.0
Rv3315c,0,0.1667,6,0,0.0
Rv3318,0,0.8611,36,0,0.0
Rv3319,0,0.9062,32,0,1.984
Rv3324c,0,0.1176,34,0,0.0
Rv3328c,0,0.0,5,0,0.0
Rv3329,0,0.5862,29,0,0.0
Rv3332,1,0.0,6,0,-1.717
Rv3334,0,0.3,20,0,0.0
Rv3335c,1,0.0,3,0,0.0
Rv3336c,1,0.95,20,1,0.0
Rv3339c,0,1.0,5,0,0.0
Rv3340,0,0.1034,29,0,0.0
Rv3341,1,0.0741,27,1,0.0
Rv3342,0,0.0,3,0,1.607
Rv3356c,1,0.9778,45,1,0.0
Rv3357,0,1.0,2,0,0.0
Rv3358,0,0.25,4,0,0.0
Rv3359,0,0.0,2,0,0.0
Rv3366,0,0.0811,37,0,0.0
Rv3370c,0,0.0,26,0,0.0
Rv3382c,0,1.0,16,0,0.0
Rv3391,0,0.0,2,0,0.0
Rv3396c,1,0.8667,45,1,0.0
Rv3400,1,0.0,1,0,3.253
Rv3406,0,0.0769,13,0,0.0
Rv3410c,0,1.0,1,1,0.0
Rv3411c,1,0.7391,46,1,0.0
Rv3419c,1,1.0,44,0,0.0
Rv3423c,1,0.3333,3,1,0.0
Rv3432c,0,0.0,1,0,0.0
Rv3436c,1,0.9348,46,1,0.0
Rv3441c,1,1.0,41,1,0.0
Rv3442c,0,1.0,40,1,0.0
Rv3443c,1,1.0,45,1,0.0
Rv3455c,1,0.0,1,1,0.0
Rv3457c,1,1.0,45,1,0.0
Rv3458c,1,1.0,45,1,0.0
Rv3459c,1,1.0,43,1,0.0
Rv3460c,0,1.0,45,1,0.0
Rv3461c,0,1.0,7,1,0.0
Rv3462c,1,0.9556,45,1,0.0
Rv3464,1,0.8864,44,1,0.0
Rv3465,1,0.6154,39,1,0.0
Rv3468c,0,0.0,2,0,0.0
Rv3473c,0,0.0,1,0,0.0
Rv3476c,0,0.1538,26,0,0.0
Rv3490,1,0.0,4,1,0.0
Rv3509c,0,0.0,6,0,-0.674
Rv3516,0,0.5,2,0,0.0
Rv3525c,0,0.1714,35,0,0.0
Rv3526,0,0.0,2,0,1.869
Rv3534c,1,0.0,8,0,0.0
Rv3535c,0,0.125,8,0,0.0
Rv3536c,0,0.2143,14,0,0.0
Rv3537,0,0.0,1,0,1.875
Rv3538,1,0.0,2,0,0.0
Rv3548c,0,0.0,2,0,0.0
Rv3549c,0,0.0,2,0,0.0
Rv3550,0,0.6667,3,0,0.0
Rv3551,1,0.0,2,1,0.0
Rv3552,0,0.5,2,0,0.0
Rv3553,0,0.0,2,0,0.0
Rv3556c,1,0.25,8,0,0.0
Rv3559c,1,0.0,2,0,0.0
Rv3560c,1,0.0,6,0,0.0
Rv3561,0,0.0,2,0,1.649
Rv3562,0,0.0,2,1,0.0
Rv3565,0,0.1481,27,0,0.0
Rv3566c,0,0.0,12,0,0.0
Rv3567c,0,0.1176,17,0,0.0
Rv3568c,0,0.0,2,1,0.0
Rv3569c,0,0.5,4,0,0.0
Rv3570c,0,0.2,5,0,2.556
Rv3571,0,0.5,2,0,1.961
Rv3580c,1,0.9333,45,1,0.0
Rv3581c,1,1.0,35,1,0.0
Rv3582c,1,1.0,1,1,0.0
Rv3583c,0,0.875,8,1,0.0
Rv3585,0,0.0222,45,0,1.009
Rv3588c,1,0.6667,3,1,0.0
Rv3596c,1,0.5455,11,1,0.0
Rv3598c,1,1.0,35,1,0.0
Rv3600c,0,1.0,5,0,1.22
Rv3601c,0,0.3684,19,1,0.0
Rv3602c,1,0.6341,41,1,0.0
Rv3607c,1,1.0,1,1,0.0
Rv3608c,1,1.0,40,1,0.0
Rv3609c,1,0.6923,26,1,0.0
Rv3610c,1,1.0,3,0,3.828
Rv3617,0,0.5,4,0,0.0
Rv3624c,0,0.125,8,1,0.0
Rv3628,0,1.0,37,1,0.0
Rv3634c,1,0.7692,13,1,0.0
Rv3646c,1,0.625,8,1,0.0
Rv3648c,1,0.8065,31,1,0.0
Rv3649,1,0.0,1,0,0.0
Rv3663c,1,0.2609,23,0,0.0
Rv3664c,0,0.125,8,0,-1.095
Rv3665c,0,0.2258,31,1,0.0
Rv3667,0,0.1111,45,0,1.439
Rv3674c,0,0.0,26,0,0.0
Rv3676,0,0.25,4,1,0.0
Rv3677c,0,0.0,2,0,0.0
Rv3678c,0,0.6842,19,1,0.0
Rv3684,0,0.3125,16,0,0.0
Rv3688c,0,0.4444,9,0,0.0
Rv3692,0,0.1333,15,0,0.0
Rv3696c,0,0.025,40,1,0.0
Rv3701c,1,0.0,15,1,0.0
Rv3708c,1,0.9474,19,1,0.0
Rv3709c,1,0.7188,32,1,0.0
Rv3710,1,0.037,27,1,0.0
Rv3715c,0,0.0667,45,0,0.0
Rv3720,0,0.0,2,0,2.123
Rv3726,0,0.0,1,0,0.0
Rv3733c,0,0.0,3,0,0.0
Rv3735,0,0.125,8,0,0.0
Rv3752c,1,1.0,2,1,0.0
Rv3756c,0,0.0,3,0,0.0
Rv3758c,1,0.25,8,0,0.0
Rv3759c,0,0.0,1,0,0.0
Rv3761c,0,0.0,9,0,0.0
Rv3762c,0,0.0,9,0,0.0
Rv3772,0,0.3125,16,0,-0.825
Rv3774,0,0.5385,13,0,0.0
Rv3775,0,0.0,1,0,0.0
Rv3777,0,0.4375,32,0,-0.788
Rv3781,1,0.2857,7,1,0.0
Rv3783,0,0.2,5,1,0.0
Rv3784,0,1.0,1,0,0.0
Rv3809c,0,0.125,8,1,0.0
Rv3833,0,0.0,1,0,0.0
Rv3834c,1,0.9778,45,1,0.0
Rv3853,0,0.1304,23,0,1.358
Rv3854c,0,0.0,4,0,0.732
Rv3858c,1,0.0323,31,1,0.0
Rv3859c,1,0.05,40,1,0.0
Rv3907c,1,1.0,3,1,0.0
Rv3913,1,0.8372,43,1,0.0
Rv3914,0,0.8605,43,1,0.0
Rv3917c,1,0.7692,13,1,0.0
Rv3922c,0,0.0,2,0,0.0
Rv3924c,0,1.0,19,1,0.0
