gene,chrom,tss,essential,loeuf,is_tf,regulon_out,regulators_in,ppi_degree,n_pathways,cpg_promoter,enhancers,n_diseases,lineage_master
EPHA10,chr1,37765120,,1.286,0,0,0,7,6,1,67,1,
EPHA2,chr1,16156069,,0.555,0,0,7,21,15,0,199,1,
EPHA3,chr3,89107620,,0.527,0,0,6,8,6,0,39,0,
EPHA4,chr2,221574202,,0.175,0,0,10,15,7,0,88,0,
EPHA5,chr4,65670495,,0.521,0,0,5,9,6,1,45,0,
EPHA5-AS1,chr4,65669960,,,0,0,0,0,0,1,45,0,
EPHA6,chr3,96814593,,0.357,0,0,1,2,6,0,16,0,
EPHA7,chr6,93419559,,0.128,0,0,7,8,6,0,51,0,
EPHA8,chr1,22563488,,0.712,0,0,5,4,6,1,84,0,
EPHB1,chr3,134795259,,0.257,0,0,4,10,7,1,61,0,
EPHB2,chr1,22710837,,0.184,0,0,49,12,8,1,116,2,
EPHB3,chr3,184561784,,0.375,0,0,4,5,7,1,134,0,
EPHB4,chr7,100827523,,0.422,0,0,5,8,7,1,126,4,
EPHB6,chr7,142855013,,0.617,0,0,0,10,7,1,132,0,
EPHX1,chr1,225810123,,1.127,0,0,10,0,1,1,131,0,
EPHX2,chr8,27491142,,1.263,0,0,20,0,4,1,87,1,
EPHX3,chr19,15233047,,1.655,0,0,0,0,0,1,143,0,
EPHX4,chr1,92029984,,0.907,0,0,0,0,0,1,16,0,
EPM2A,chr6,145736023,,1.339,0,0,0,2,2,0,42,2,
EPM2AIP1,chr3,36993131,,0.452,0,0,0,0,0,1,84,0,
EPN1,chr19,55675225,,0.388,0,0,0,11,3,1,153,0,
EPN2,chr17,19237376,,0.397,0,0,0,10,2,1,75,0,
EPN2-AS1,chr17,19306261,,,0,0,0,0,0,0,156,0,
EPN2-IT1,chr17,19271392,,,0,0,0,0,0,0,130,0,
EPN3,chr17,50532734,,1.377,0,0,0,9,0,0,149,0,
EPO,chr7,100720467,,0.896,0,0,74,11,8,1,97,2,
EPOP,chr17,38674957,,,0,0,0,7,1,0,126,0,
EPOR,chr19,11384314,,0.652,0,0,13,22,8,0,90,2,
EPPIN,chr20,45547401,,1.191,0,0,2,2,1,0,31,0,
EPPIN-WFDC6,chr20,45547401,,1.191,0,0,0,0,1,0,31,0,
EPPK1,chr8,143878467,,1.198,0,0,0,0,0,1,184,0,
EPRS,,,1,0.505,0,0,0,0,0,,,0,
EPRS1,chr1,220046505,,,0,0,1,24,4,1,50,1,
EPS15,chr1,51519266,,0.455,0,0,0,37,6,1,93,0,
EPS15L1,chr19,16472012,,0.245,0,0,0,20,3,1,112,1,
EPS8,chr12,15789388,,0.311,0,0,0,14,2,1,92,1,
EPS8L1,chr19,55075868,,1.027,0,0,0,0,0,0,140,0,
EPS8L2,chr11,706230,,0.627,0,0,0,11,2,1,153,1,
EPS8L3,chr1,109763923,,0.914,0,0,0,0,0,0,147,2,
EPSTI1,chr13,42992241,,1.719,0,0,1,0,1,1,92,0,
EPT1,,,,0.441,0,0,0,0,0,,,0,
EPX,chr17,58192725,,1.226,0,0,0,2,1,0,42,1,
EPYC,chr12,91004972,,1.317,0,0,1,0,0,0,62,0,
EQTN,chr9,27297150,,1.877,0,0,0,0,0,0,47,0,
ERAL1,chr17,28855015,,1.024,0,0,0,37,5,1,137,1,
ERAP1,chr5,96808189,,1.132,0,0,4,1,1,1,102,1,
ERAP2,chr5,96875938,,1.191,0,0,5,0,1,0,91,0,
ERAS,chrX,48826512,,1.445,0,0,0,0,0,1,63,0,
ERBB2,chr17,39688093,,0.397,0,0,80,59,35,1,207,7,
ERBB2IP,,,,0.285,0,0,0,0,0,,,0,
ERBB3,chr12,56080164,,0.685,0,0,11,30,16,0,107,4,
ERBB4,chr2,212538802,,0.265,0,0,21,30,23,0,40,2,
ERBIN,chr5,65926574,,,0,0,1,7,23,0,89,0,
ERC1,chr12,991222,,0.543,0,0,0,12,0,1,73,0,
ERC2,chr3,56468467,,0.294,0,0,0,6,0,1,35,0,
ERC2-IT1,chr3,55659469,,,0,0,0,0,0,0,105,0,
ERCC1,chr19,45451547,,1.296,0,0,26,35,5,1,175,3,
ERCC2,chr19,45370573,1,1.086,1,8,4,103,31,1,108,7,
ERCC3,chr2,127294144,1,0.786,0,0,9,101,30,1,40,5,
ERCC4,chr16,13920153,,0.896,0,0,19,32,5,1,65,7,
ERCC5,chr13,102846031,,0.805,0,0,3,40,3,1,67,5,
ERCC6,chr10,49539121,,0.802,0,0,1,73,7,1,70,10,
ERCC6-PGBD3,,,,0.839,0,0,0,0,0,,,0,
ERCC6L,chrX,72239027,,0.211,0,0,0,5,6,1,60,0,
ERCC6L2,chr9,95875690,,0.675,0,0,0,0,0,1,52,1,
ERCC8,chr5,60945070,,1.355,0,0,0,82,5,1,32,5,
EREG,chr4,74365144,,1.571,0,0,12,6,29,0,96,0,
ERF,chr19,42255128,,0.261,1,18,5,0,2,0,181,3,
ERFE,chr2,238158969,,,0,0,0,0,0,1,145,0,
ERFL,chr19,41928449,,,0,0,0,0,0,1,182,0,
ERG,chr21,38661780,,0.329,1,60,11,3,0,0,54,1,
ERG28,chr14,75660876,,,0,0,0,2,0,1,94,0,
ERGIC1,chr5,172834250,,0.473,0,0,0,1,0,1,180,2,
ERGIC2,chr12,29381172,,0.628,0,0,0,2,0,1,37,0,
ERGIC3,chr20,35542077,,0.752,0,0,0,2,0,1,67,0,
ERH,chr14,69398299,1,0.421,0,0,0,11,0,1,59,0,
ERI1,chr8,9002896,,1.073,0,0,0,7,1,1,93,2,
ERI2,chr16,20806472,,0.975,0,0,0,0,0,1,65,0,
ERI3,chr1,44355279,,0.745,0,0,0,0,0,1,82,0,
ERI3-IT1,chr1,44244283,,,0,0,0,0,0,0,113,0,
ERICD,,,,,0,0,2,0,0,,,0,
ERICH1,chr8,731224,,1.639,0,0,0,0,0,1,96,0,
ERICH2,chr2,170770681,,1.409,0,0,0,0,0,1,50,0,
ERICH3,chr1,74673792,,,0,0,0,0,0,0,41,0,
ERICH3-AS1,chr1,74577429,,,0,0,0,0,0,0,31,0,
ERICH4,chr19,41443155,,,0,0,0,0,0,0,92,0,
ERICH5,chr8,98064521,,,0,0,0,0,1,1,77,0,
ERICH6,chr3,150703920,,,0,0,0,0,0,1,82,0,
ERICH6-AS1,chr3,150703563,,,0,0,0,0,0,1,82,0,
ERICH6B,chr13,45615739,,,0,0,0,0,0,0,25,0,
ERLEC1,chr2,53786930,,0.742,0,0,0,10,5,1,65,0,
ERLIN1,chr10,100186029,,0.539,0,0,0,5,3,1,70,2,
ERLIN2,chr8,37736633,,0.833,0,0,0,9,5,1,117,5,
ERLNC1,chr1,204141407,,,0,0,0,0,0,0,127,0,
ERMAP,chr1,42817121,,1.167,0,0,1,2,0,1,91,1,
ERMARD,chr6,169751621,,1.023,0,0,0,5,0,1,78,3,
ERMN,chr2,157327712,,1.285,0,0,1,0,0,0,75,0,
ERMP1,chr9,5833117,,0.886,0,0,0,0,0,1,98,0,
ERN1,chr17,64130144,,0.293,0,0,2,31,2,1,162,0,
ERN2,chr16,23713222,,1.029,0,0,0,0,0,1,61,0,
ERO1A,chr14,52695558,,,0,0,2,4,1,1,64,0,
ERO1B,chr1,236281958,,,0,0,0,1,1,1,45,0,
ERO1L,,,,0.372,0,0,0,0,0,,,0,
ERO1LB,,,,0.853,0,0,0,0,0,,,0,
ERP27,chr12,14938537,,1.863,0,0,0,0,0,0,130,0,
ERP29,chr12,112013425,,0.531,0,0,1,1,0,1,73,0,
ERP44,chr9,100099000,,0.274,0,0,1,4,1,1,77,0,
ERRFI1,chr1,8026309,,0.881,0,0,4,1,0,1,145,0,
ERV3-1,chr7,65006687,,,0,0,0,5,0,0,46,0,
ERV3-1-ZNF117,chr7,65006746,,,0,0,0,0,0,0,46,0,
ERVFRD-1,chr6,11111725,,1.363,0,0,1,7,0,0,89,0,
ERVH48-1,chr21,42925598,,,0,0,0,0,0,0,115,0,
ERVK-11,,,,,0,0,13,0,0,,,0,
ERVK-6,,,,,0,0,19,0,0,,,0,
ERVK13-1,chr16,2673439,,,0,0,0,0,0,1,110,0,
ERVK3-1,chr19,58305373,,,0,0,0,0,0,1,60,0,
ERVMER34-1,chr4,52751425,,,0,0,0,0,0,1,54,0,
ERVV-1,chr19,53014090,,,0,0,0,0,0,0,62,0,
ERVV-2,chr19,53044739,,,0,0,0,0,0,0,60,0,
ERVW-1,chr7,92477946,,,0,0,44,16,0,0,52,0,
ESAM,chr11,124762290,,0.59,0,0,15,5,1,1,123,1,
ESCO1,chr18,21600704,,0.17,0,0,0,0,1,1,43,0,
ESCO2,chr8,27774553,,0.833,0,0,1,0,1,1,61,4,
ESD,chr13,46797161,,1.146,0,0,1,1,1,1,60,0,
ESF1,chr20,13784933,,0.463,0,0,0,0,0,1,63,0,
ESM1,chr5,54985593,,0.901,0,0,1,2,0,0,50,0,
ESPL1,chr12,53268298,,0.159,0,0,0,5,1,1,112,0,
ESPN,chr1,6424775,,0.934,0,0,0,20,2,1,152,3,
ESPNL,chr2,238100339,,0.938,0,0,0,11,2,1,134,0,
ESPNP,chr1,16720157,,,0,0,0,0,0,0,54,0,
ESR1,chr6,151656671,,0.19,1,631,142,102,18,0,85,4,
ESR2,chr14,64338613,,1.007,1,207,36,21,6,1,28,1,
ESRG,chr3,54639857,,,0,0,1,0,0,0,57,0,
ESRP1,chr8,94641173,,0.236,0,0,3,2,2,1,47,1,
ESRP2,chr16,68236127,,0.715,0,0,2,2,1,0,140,0,
ESRRA,chr11,64305523,,0.49,1,48,4,6,6,1,183,0,
ESRRB,chr14,76371270,,0.519,1,11,4,4,1,0,29,1,
ESRRG,chr1,217137702,,0.56,1,25,8,5,1,1,51,0,
ESS2,chr22,19144651,,,0,0,0,3,0,1,144,1,
ESX1,chrX,104254933,0,0.749,1,1,2,0,0,1,13,0,
ESYT1,chr12,56128201,,0.622,0,0,0,2,7,1,122,0,
ESYT2,chr7,158829509,,0.566,0,0,0,2,1,0,137,0,
ESYT3,chr3,138434615,,1.109,0,0,0,2,1,1,87,0,
ETAA1,chr2,67397332,,0.519,0,0,0,1,0,1,37,0,
ETDA,chrX,135252060,,,0,0,0,0,0,0,5,0,
ETDB,chrX,135120526,,,0,0,0,0,0,0,21,0,
ETDC,chrX,135309479,,,0,0,0,0,0,0,32,0,
ETF1,chr5,138543236,,0.251,0,0,1,93,6,1,110,0,
ETFA,chr15,76311469,,0.68,0,0,0,4,1,1,96,1,
ETFB,chr19,51366388,,0.825,0,0,0,2,2,1,126,1,
ETFBKMT,chr12,31647159,,,0,0,0,0,1,0,77,0,
ETFDH,chr4,158672295,,1.044,0,0,1,0,1,1,33,1,
ETFRF1,chr12,25195236,,,0,0,0,2,0,1,48,0,
ETHE1,chr19,43527201,,1.456,0,0,0,0,1,1,97,2,
ETNK1,chr12,22625170,,0.36,0,0,1,0,1,1,43,0,
ETNK2,chr1,204152044,,1.074,0,0,1,0,1,1,134,0,
ETNPPL,chr4,108763053,,0.738,0,0,0,0,1,1,39,0,
ETS1,chr11,128587558,,0.389,1,234,50,13,2,0,128,1,
ETS1-AS1,chr11,128526141,,,0,0,0,0,0,0,169,0,
ETS2,chr21,38805182,,0.197,1,111,15,6,1,1,158,0,
ETV1,chr7,13991425,,0.347,1,22,4,0,0,1,68,0,
ETV2,chr19,35641744,,1.418,1,8,6,0,0,0,65,0,
ETV3,chr1,157138395,,0.299,1,11,3,0,0,1,132,0,
ETV3L,chr1,157099808,,1.416,0,0,0,0,0,0,94,0,
ETV4,chr17,43546340,,0.846,1,68,2,1,1,0,112,0,
ETV5,chr3,186109089,,0.092,1,23,6,1,0,0,106,0,
ETV6,chr12,11649673,,0.318,1,27,4,2,3,1,105,2,
ETV7,chr6,36387669,,1.528,1,14,1,1,0,1,84,0,
EVA1A,chr2,75569719,,1.526,0,0,0,0,2,0,116,0,
EVA1B,chr1,36324154,,0.694,0,0,0,0,0,0,134,0,
EVA1C,chr21,32411722,,0.745,0,0,0,0,0,1,100,0,
EVADR,chr6,70394201,,,0,0,0,0,0,0,68,0,
EVC,chr4,5711200,,1.064,0,0,0,2,3,1,76,4,
EVC2,chr4,5709548,,1.064,0,0,0,2,3,0,74,4,
EVI2A,chr17,31321622,,1.344,0,0,0,0,0,0,58,0,
EVI2B,chr17,31314054,,0.761,0,0,0,0,0,0,60,0,
EVI5,chr1,92792410,,0.761,0,0,0,1,0,0,74,0,
EVI5L,chr19,7830217,,0.214,0,0,0,0,0,1,132,0,
EVL,chr14,99971421,,0.238,0,0,0,4,4,1,102,0,
EVPL,chr17,76027306,,0.749,0,0,3,4,1,0,158,0,
EVPLL,chr17,18377777,,1.482,0,0,0,0,0,0,50,0,
EVX1,chr7,27242801,0,1.517,1,3,1,0,0,1,109,0,
EVX1-AS,chr7,27247229,,,0,0,0,0,0,0,99,0,
EVX2,chr2,176083962,,0.676,1,2,1,0,0,1,161,0,
EWSAT1,chr15,69080849,,,0,0,0,0,0,0,115,0,
EWSR1,chr22,29268267,,0.218,1,58,3,9,0,1,136,2,
EXD1,chr15,41230757,,1.263,0,0,0,2,0,1,49,0,
EXD2,chr14,69191476,,1.121,0,0,0,0,0,1,55,0,
EXD3,chr9,137423162,,0.999,0,0,0,0,0,1,190,0,
EXO1,chr1,241848190,,0.925,0,0,4,12,17,1,55,0,
EXO5,chr1,40508718,,1.433,0,0,0,0,0,1,23,0,
EXOC1,chr4,55853647,,0.479,0,0,0,14,4,1,42,0,
EXOC1L,chr4,55819789,,,0,0,0,12,0,0,31,0,
EXOC2,chr6,693141,,0.59,0,0,0,18,3,1,83,1,
EXOC3,chr5,443175,,0.348,0,0,0,12,3,1,177,0,
EXOC3-AS1,chr5,443160,,,0,0,0,0,0,1,177,0,
EXOC3L1,chr16,67190136,,1.152,0,0,0,9,0,0,178,0,
EXOC3L2,chr19,45245407,,0.434,0,0,0,9,0,0,88,1,
EXOC3L4,chr14,103100143,,0.981,0,0,0,9,0,0,172,0,
EXOC4,chr7,133253077,,0.795,0,0,2,18,3,0,36,0,
EXOC5,chr14,57268905,,0.178,0,0,0,16,3,1,42,0,
EXOC6,chr10,92826830,,0.593,0,0,0,17,3,0,69,0,
EXOC6B,chr2,72826033,,0.396,0,0,0,13,0,1,71,1,
EXOC7,chr17,76103787,,0.652,0,0,0,16,3,1,140,1,
EXOC8,chr1,231337852,,0.194,0,0,0,16,3,1,52,1,
EXOG,chr3,38496271,,1.631,0,0,0,0,1,1,98,0,
EXOSC1,chr10,97446017,,1.485,0,0,2,20,8,1,120,1,
EXOSC10,chr1,11099869,,0.738,0,0,0,80,3,1,90,0,
EXOSC10-AS1,chr1,11099674,,,0,0,0,0,0,1,90,0,
EXOSC2,chr9,130693759,1,1.096,0,0,0,22,8,1,109,1,
EXOSC3,chr9,37785092,1,1.213,0,0,0,21,8,1,54,2,
EXOSC4,chr8,144078671,1,0.976,0,0,0,21,8,1,138,0,
EXOSC5,chr19,41397359,,1.14,0,0,0,23,8,1,125,1,
EXOSC6,chr16,70251940,1,1.282,0,0,1,20,8,1,54,0,
EXOSC7,chr3,44976248,1,1.092,0,0,0,23,8,1,130,0,
EXOSC8,chr13,37000785,1,1.685,0,0,1,22,8,1,49,2,
EXOSC9,chr4,121801322,,1.11,0,0,1,20,8,1,68,2,
EXPH5,chr11,108593768,,0.943,0,0,0,1,0,1,105,1,
EXT1,chr8,118111826,,0.261,0,0,3,1,3,1,116,4,
EXT2,chr11,44095677,,0.766,0,0,0,3,3,1,59,5,
EXTL1,chr1,26021774,,1.082,0,0,0,1,1,0,181,0,
EXTL2,chr1,100895179,,1.031,0,0,0,1,2,1,63,0,
EXTL3,chr8,28701500,,0.677,0,0,0,2,2,1,86,2,
EXTL3-AS1,chr8,28701464,,,0,0,0,0,0,1,86,0,
EYA1,chr8,71548094,,0.332,0,0,8,3,2,1,51,6,
EYA2,chr20,46894623,,0.467,0,0,6,1,1,1,62,0,
EYA3,chr1,28088637,,0.264,0,0,2,0,1,1,102,0,
EYA4,chr6,133241356,,0.45,0,0,2,0,1,1,52,3,
EYS,chr6,65707226,,0.834,0,0,0,0,0,0,16,2,
EZH1,chr17,42745040,,0.421,0,0,0,32,1,1,81,0,
EZH2,chr7,148884291,,0.146,1,156,18,105,11,1,99,2,
EZHIP,chrX,51406947,,,0,0,0,0,1,1,17,0,
EZR,chr6,158819368,,0.44,0,0,39,52,5,0,195,0,
EZR-AS1,chr6,158817978,,,0,0,0,0,0,1,195,0,
F10,chr13,113122798,,0.97,0,0,6,11,9,0,162,2,
F10-AS1,chr13,113130046,,,0,0,0,0,0,1,157,0,
F11,chr4,186266188,,1.445,0,0,3,6,4,0,42,2,
F11-AS1,chr4,186501058,,,0,0,0,0,0,1,20,0,
F11R,chr1,161021152,,1.01,0,0,1,23,5,1,115,0,
F12,chr5,177409564,,0.775,0,0,6,4,6,0,177,3,
F13A1,chr6,6320662,,0.739,0,0,5,1,3,0,56,3,
F13B,chr1,197067260,0,0.853,0,0,1,1,1,0,35,2,
F2,chr11,46719212,,0.536,0,0,24,19,17,0,89,5,
F2R,chr5,76716125,,0.955,0,0,30,16,4,1,103,0,
F2RL1,chr5,76819029,,1.327,0,0,0,0,2,1,113,0,
F2RL2,chr5,76623403,,1.487,0,0,0,2,4,0,77,0,
F2RL3,chr19,16888998,,1.63,0,0,2,3,4,1,92,0,
F3,chr1,94541857,,0.804,0,0,51,8,3,1,103,0,
F5,chr1,169586481,,0.562,0,0,1,2,10,0,68,7,
F7,chr13,113105790,,0.902,0,0,8,6,6,0,160,2,
F8,chrX,155022723,,0.089,0,0,6,4,16,0,64,5,
F8A1,chrX,154886359,,,0,0,0,3,0,1,6,0,
F8A2,chrX,155458600,,,0,0,0,4,0,1,6,0,
F8A3,chrX,155458620,,,0,0,0,3,0,1,6,0,
F9,chrX,139530735,0,0.167,0,0,2,7,14,0,16,2,
FA2H,chr16,74774820,,0.556,0,0,1,0,1,1,95,3,
FAAH,chr1,46394316,,1.054,0,0,3,2,1,1,80,0,
FAAH2,chrX,57286676,,1.935,0,0,0,2,1,0,18,0,
FAAHP1,chr1,46433826,,,0,0,0,0,0,0,92,0,
FAAP100,chr17,81552353,,,0,0,0,20,2,1,178,2,
FAAP20,chr1,2207733,,,0,0,0,14,2,0,211,0,
FAAP24,chr19,32972241,,,0,0,0,17,2,1,37,0,
FABP1,chr2,88128062,,1.907,0,0,13,4,5,0,78,0,
FABP12,chr8,81531390,,1.643,0,0,0,0,1,0,58,0,
FABP2,chr4,119322138,0,1.505,0,0,15,0,1,0,51,0,
FABP3,chr1,31373288,,0.865,0,0,3,0,1,0,102,0,
FABP4,chr8,81483233,,1.864,0,0,12,2,6,0,48,0,
FABP5,chr8,81280535,,1.106,0,0,17,2,4,1,72,0,
FABP5P3,chr7,152436894,,,0,0,0,0,0,0,78,0,
FABP6,chr5,160187380,,1.652,0,0,10,0,3,0,73,0,
FABP7,chr6,122749200,,1.647,0,0,13,0,2,0,90,0,
FABP9,chr8,81461579,,1.956,0,0,0,0,1,0,51,0,
FADD,chr11,70203295,,1.277,0,0,23,33,14,1,118,2,
FADS1,chr11,61817003,,0.445,0,0,2,7,3,0,159,0,
FADS2,chr11,61816202,,0.232,0,0,4,0,3,0,159,0,
FADS3,chr11,61891545,,0.622,0,0,0,0,0,1,151,0,
FADS6,chr17,74893633,,1.715,0,0,0,0,0,1,117,0,
FAF1,chr1,50960267,,0.251,0,0,4,25,0,1,86,0,
FAF2,chr5,176448384,,0.216,0,0,0,22,2,1,105,0,
FAH,chr15,80152788,,1.414,0,0,1,0,1,1,89,2,
FAHD1,chr16,1827223,,1.967,0,0,0,0,1,0,112,0,
FAHD2A,chr2,95402707,,1.199,0,0,0,0,0,1,42,0,
FAHD2B,chr2,97094882,,1.36,0,0,0,0,0,1,20,0,
FAHD2CP,chr2,96010550,,,0,0,0,0,0,1,26,0,
FAIM,chr3,138608770,,1.382,0,0,1,0,0,1,48,0,
FAIM2,chr12,49903900,,0.82,0,0,1,0,0,1,146,0,
FAIM3,,,,1.03,0,0,0,0,0,,,0,
FALEC,chr1,150515756,,,0,0,0,0,0,1,124,0,
FAM101A,,,,1.404,0,0,0,0,0,,,0,
FAM101B,,,,1.271,0,0,0,0,0,,,0,
FAM102A,chr9,127980989,,0.584,0,0,0,0,0,1,184,0,
FAM102B,chr1,108560099,,0.773,0,0,0,0,0,1,87,0,
FAM103A1,,,,1.304,0,0,0,0,0,,,0,
FAM104A,chr17,73232394,,0.843,0,0,0,0,0,1,108,0,
FAM104B,chrX,55161195,,1.921,0,0,0,0,0,1,40,0,
FAM105A,,,,1.241,0,0,0,0,0,,,0,
FAM105B,,,,0.579,0,0,0,0,0,,,0,
FAM106A,chr17,18526846,0,,0,0,0,0,0,0,18,0,
FAM106B,chr17,20417019,,,0,0,0,0,0,0,11,0,
FAM106C,chr17,16788742,,,0,0,0,0,0,0,28,0,
FAM107A,chr3,58627610,,1.916,0,0,0,0,0,0,92,0,
FAM107B,chr10,14774897,,1.392,0,0,0,0,0,0,84,0,
FAM109A,,,,1.756,0,0,0,0,0,,,0,
FAM109B,,,,1.788,0,0,0,0,0,,,0,
FAM110A,chr20,833714,,1.019,0,0,0,0,0,1,110,0,
FAM110B,chr8,57994522,,0.705,0,0,0,0,0,1,83,0,
FAM110C,chr2,46505,,1.862,0,0,1,0,0,1,61,0,
FAM110D,chr1,26159078,,0.95,0,0,0,0,0,0,114,0,
FAM111A,chr11,59142855,,1.949,0,0,0,0,0,1,91,3,
FAM111A-DT,chr11,59142808,,,0,0,0,0,0,1,91,0,
FAM111B,chr11,59107184,,1.879,0,0,0,0,0,1,63,1,
FAM114A1,chr4,38867805,,1.485,0,0,0,0,0,1,83,0,
FAM114A2,chr5,154038910,,1.04,0,0,0,0,1,1,66,0,
FAM115A,,,,0.54,0,0,0,0,0,,,0,
FAM115C,,,,1.921,0,0,0,0,0,,,0,
FAM117A,chr17,49764131,,0.861,0,0,0,0,0,1,134,0,
FAM117B,chr2,202634968,,0.662,0,0,0,0,0,1,77,0,
FAM118A,chr22,45308959,,1.004,0,0,0,0,0,1,134,0,
FAM118B,chr11,126211723,,0.676,0,0,0,0,0,1,92,0,
FAM120A,chr9,93451684,,0.163,0,0,0,0,0,1,97,0,
FAM120AOS,chr9,93453581,,0.989,0,0,0,0,0,0,98,0,
FAM120B,chr6,170290702,,0.75,0,0,0,0,3,0,113,0,
FAM120C,chrX,54183254,,0.136,0,0,0,0,0,1,32,0,
FAM122A,chr9,68780064,,0.791,0,0,0,0,0,1,95,0,
FAM122B,chrX,134797232,,0.457,0,0,0,0,0,1,48,0,
FAM122C,chrX,134804121,,1.604,0,0,0,0,0,0,42,0,
FAM124A,chr13,51222397,,1.434,0,0,0,0,0,1,95,0,
FAM124B,chr2,224402107,,1.302,0,0,0,0,1,0,82,0,
FAM126A,chr7,23014130,,0.485,0,0,0,2,0,1,74,0,
FAM126B,chr2,201071671,,0.464,0,0,0,0,0,1,66,0,
FAM127A,,,,1.532,0,0,0,0,0,,,0,
FAM127B,,,,1.567,0,0,0,0,0,,,0,
FAM127C,,,,1.936,0,0,0,0,0,,,0,
FAM129A,,,,1.243,0,0,0,0,0,,,0,
FAM129B,,,,0.446,0,0,0,0,0,,,0,
FAM129C,,,,1.108,0,0,0,0,0,,,0,
FAM131A,chr3,184335925,,0.69,0,0,0,0,0,1,155,0,
FAM131B,chr7,143382304,,0.256,0,0,0,0,1,0,126,0,
FAM131C,chr1,16073651,,0.892,0,0,0,0,0,1,142,0,
FAM132A,,,,1.64,0,0,0,0,0,,,0,
FAM132B,,,,1.277,0,0,0,0,0,,,0,
FAM133A,chrX,93674012,,0.947,0,0,0,0,0,1,7,0,
FAM133B,chr7,92590390,,0.825,0,0,0,0,0,1,81,0,
FAM133CP,chr10,58715014,,,0,0,0,0,0,0,70,0,
FAM133DP,chr2,157380509,,,0,0,0,0,0,0,78,0,
FAM134A,,,,0.509,0,0,0,0,0,,,0,
FAM134B,,,,0.863,0,0,0,0,0,,,0,
FAM134C,,,,0.517,0,0,0,0,0,,,0,
FAM135A,chr6,70413403,,0.265,0,0,0,0,1,1,67,0,
FAM135A-AS1,chr6,70413958,,,0,0,0,0,0,1,67,0,
FAM135B,chr8,138497730,,0.222,0,0,0,0,0,0,34,0,
FAM136A,chr2,70302067,,1.725,0,0,0,0,0,1,58,0,
FAM138A,chr1,36081,,,0,0,0,0,0,0,3,0,
FAM138B,chr2,113577381,,,0,0,0,0,0,0,38,0,
FAM138C,chr1,36081,,,0,0,0,0,0,0,3,0,
FAM138D,chr12,38133,,,0,0,0,0,0,0,41,0,
FAM138E,chr15,101954884,,,0,0,0,0,0,0,8,0,
FAM138F,chr1,36081,,,0,0,0,0,0,0,3,0,
FAM13A,chr4,89057185,,0.829,0,0,1,0,2,0,50,1,
FAM13A-AS1,chr4,88709788,,,0,0,0,0,0,0,93,0,
FAM13B,chr5,138033113,,0.365,0,0,0,0,2,1,64,0,
FAM13C,chr10,59363181,,0.63,0,0,0,0,0,1,76,0,
FAM149A,chr4,186104703,,0.793,0,0,0,0,0,1,73,0,
FAM149B1,chr10,73168118,,1.049,0,0,0,0,0,1,40,2,
FAM150A,,,,1.849,0,0,0,0,0,,,0,
FAM150B,,,,1.269,0,0,0,0,0,,,0,
FAM151A,chr1,54623525,,1.495,0,0,0,0,0,0,97,0,
FAM151B,chr5,80488099,,1.477,0,0,0,0,0,1,49,0,
FAM153A,chr5,177783425,,1.159,0,0,0,0,0,1,5,0,
FAM153B,chr5,176063054,,1.171,0,0,0,0,0,0,15,0,
FAM153C,,,,1.056,0,0,0,0,0,,,0,
FAM153CP,chr5,178007691,,,0,0,0,0,0,0,16,0,
FAM154A,,,,1.852,0,0,0,0,0,,,0,
FAM154B,,,,1.806,0,0,0,0,0,,,0,
FAM155A,chr13,107867496,,0.311,0,0,0,5,0,1,61,0,
FAM155A-IT1,chr13,107835458,,,0,0,0,0,0,0,58,0,
FAM155B,chrX,69504325,,0.479,0,0,0,0,0,1,27,0,
FAM156A,chrX,52995472,,,0,0,0,0,0,1,33,0,
FAM156B,chrX,52891591,,,0,0,0,0,0,0,36,0,
FAM157A,chr3,198153205,,,0,0,0,0,0,0,32,0,
FAM157B,chr9,138216855,,,0,0,0,0,0,0,7,0,
FAM157C,chr16,90102263,,,0,0,0,0,0,0,29,0,
FAM159A,,,,1.865,0,0,0,0,0,,,0,
FAM159B,,,,1.639,0,0,0,0,0,,,0,
FAM160A1,chr4,151409175,,0.621,0,0,0,0,0,1,62,0,
FAM160A2,chr11,6234636,,0.293,0,0,0,4,0,1,90,0,
FAM160B1,chr10,114821779,,0.25,0,0,0,0,0,1,81,0,
FAM160B2,chr8,22089149,,0.775,0,0,0,0,0,1,156,0,
FAM161A,chr2,61854060,,1.014,0,0,0,5,0,1,40,2,
FAM161B,chr14,73950094,,1.088,0,0,0,0,0,1,57,0,
FAM162A,chr3,122384181,,1.521,0,0,1,0,0,1,80,0,
FAM162B,chr6,116765719,,1.881,0,0,0,0,0,0,16,0,
FAM163A,chr1,179727775,,1.193,0,0,0,0,0,0,37,0,
FAM163B,chr9,133609389,,1.871,0,0,0,0,0,1,138,0,
FAM166A,chr9,137247751,,1.657,0,0,0,0,0,0,185,0,
FAM166B,chr9,35563878,,1.753,0,0,0,34,0,0,114,0,
FAM166C,chr2,26562586,,,0,0,0,34,0,1,69,0,
FAM167A,chr8,11466753,,1.97,0,0,1,0,0,1,197,0,
FAM167A-AS1,chr8,11368401,,,0,0,0,0,0,0,59,0,
FAM167B,chr1,32247221,,1.652,0,0,0,0,0,0,117,0,
FAM168A,chr11,73598112,,0.229,0,0,0,0,0,1,69,0,
