locus_tag,product,function_tier,conditional,essential,conservation,dnds,n_orgs,live_ghost,priority
RS_RS07025,hypothetical protein,live_ghost,accessory,0,0.0,,17,1,5
RS_RS03955,DUF3999 domain-containing protein,live_ghost,accessory,0,0.0,0.301,17,1,5
RS_RS08190,DUF465 domain-containing protein,live_ghost,accessory,0,0.6,,15,1,5
RS_RS15345,DUF1415 domain-containing protein,live_ghost,accessory,0,0.0,0.323,15,1,5
RS_RS01780,DUF2244 domain-containing protein,live_ghost,accessory,0,0.0,0.415,15,1,5
RS_RS01155,DUF427 domain-containing protein,live_ghost,accessory,0,0.0,0.32,15,1,5
RS_RS17750,DUF2242 domain-containing protein,live_ghost,accessory,0,0.0,,15,1,5
RS_RS06890,DUF523 domain-containing protein,live_ghost,accessory,0,0.0,,14,1,5
RS_RS01245,DUF1254 domain-containing protein,live_ghost,accessory,0,0.0,,14,1,5
RS_RS15185,DUF1175 domain-containing protein,live_ghost,accessory,0,0.125,,13,1,5
RS_RS22605,DUF6531 domain-containing protein,live_ghost,accessory,0,0.0,,13,1,5
RS_RS14745,DUF4870 family protein,live_ghost,accessory,0,0.0,,12,1,5
RS_RS10880,DUF969 domain-containing protein,live_ghost,accessory,0,0.143,,12,1,5
RS_RS04455,DUF748 domain-containing protein,live_ghost,accessory,0,0.0,,12,1,5
RS_RS02250,DUF3683 domain-containing protein,live_ghost,accessory,0,0.667,,12,1,5
RS_RS17470,DUF5943 domain-containing protein,live_ghost,accessory,0,0.091,,12,1,5
RS_RS20350,DUF4810 domain-containing protein,live_ghost,accessory,0,0.0,,11,1,5
RS_RS20355,DUF799 domain-containing protein,live_ghost,accessory,0,0.0,0.387,11,1,5
RS_RS18865,hypothetical protein,live_ghost,accessory,0,0.111,,11,1,5
RS_RS24240,DUF1801 domain-containing protein,live_ghost,accessory,0,0.333,,10,1,5
RS_RS24260,DUF3348 domain-containing protein,live_ghost,accessory,0,0.2,0.327,10,1,5
RS_RS24275,DUF2894 domain-containing protein,live_ghost,accessory,0,0.4,,10,1,5
RS_RS11975,DUF3460 family protein,live_ghost,accessory,0,0.4,0.408,10,1,5
RS_RS25125,DUF2334 domain-containing protein,live_ghost,accessory,0,0.0,,10,1,5
