gene_id	symbol	name	conservation_depth	ortholog_yeast	ortholog_fly	ortholog_worm	ortholog_evidence_source	max_species_support	n_ortholog_novel_go	ortholog_inferred_function	ortholog_novel_go_terms
646103	TAF11L3	TATA-box binding protein associated factor 11 like 3	eukaryote	TAF11	Taf11	taf-11.2	fly:Taf11	2	11	TBP-associated factor 11 | molecular function: protein binding, chromatin binding, RNA polymerase II general transcription initiation factor activity | process: transcription by RNA polymerase II, RNAi-mediated antiviral immune response, protein-RNA complex assembly, positive regulation of transcription by RNA polymerase II	GO:0005515:protein binding [Function|2sp]; GO:0005669:transcription factor TFIID complex [Component|2sp]; GO:0003682:chromatin binding [Function|1sp]; GO:0005634:nucleus [Component|1sp]; GO:0005737:cytoplasm [Component|1sp]; GO:0006366:transcription by RNA polymerase II [Process|1sp]; GO:0009616:RNAi-mediated antiviral immune response [Process|1sp]; GO:0016251:RNA polymerase II general transcription initiation factor activity [Function|1sp]; GO:0022618:protein-RNA complex assembly [Process|1sp]; GO:0045944:positive regulation of transcription by RNA polymerase II [Process|1sp]; GO:0051123:RNA polymerase II preinitiation complex assembly [Process|1sp]
391746	TAF11L4	TATA-box binding protein associated factor 11 like 4	eukaryote	TAF11	Taf11	taf-11.1,taf-11.2	fly:Taf11	2	11	TBP-associated factor 11 | molecular function: protein binding, chromatin binding, RNA polymerase II general transcription initiation factor activity | process: transcription by RNA polymerase II, RNAi-mediated antiviral immune response, protein-RNA complex assembly, positive regulation of transcription by RNA polymerase II	GO:0005515:protein binding [Function|2sp]; GO:0005669:transcription factor TFIID complex [Component|2sp]; GO:0003682:chromatin binding [Function|1sp]; GO:0005634:nucleus [Component|1sp]; GO:0005737:cytoplasm [Component|1sp]; GO:0006366:transcription by RNA polymerase II [Process|1sp]; GO:0009616:RNAi-mediated antiviral immune response [Process|1sp]; GO:0016251:RNA polymerase II general transcription initiation factor activity [Function|1sp]; GO:0022618:protein-RNA complex assembly [Process|1sp]; GO:0045944:positive regulation of transcription by RNA polymerase II [Process|1sp]; GO:0051123:RNA polymerase II preinitiation complex assembly [Process|1sp]
646066	TAF11L5	TATA-box binding protein associated factor 11 like 5	eukaryote	TAF11	Taf11	taf-11.2	fly:Taf11	2	11	TBP-associated factor 11 | molecular function: protein binding, chromatin binding, RNA polymerase II general transcription initiation factor activity | process: transcription by RNA polymerase II, RNAi-mediated antiviral immune response, protein-RNA complex assembly, positive regulation of transcription by RNA polymerase II	GO:0005515:protein binding [Function|2sp]; GO:0005669:transcription factor TFIID complex [Component|2sp]; GO:0003682:chromatin binding [Function|1sp]; GO:0005634:nucleus [Component|1sp]; GO:0005737:cytoplasm [Component|1sp]; GO:0006366:transcription by RNA polymerase II [Process|1sp]; GO:0009616:RNAi-mediated antiviral immune response [Process|1sp]; GO:0016251:RNA polymerase II general transcription initiation factor activity [Function|1sp]; GO:0022618:protein-RNA complex assembly [Process|1sp]; GO:0045944:positive regulation of transcription by RNA polymerase II [Process|1sp]; GO:0051123:RNA polymerase II preinitiation complex assembly [Process|1sp]
112488745	TAF11L9	TATA-box binding protein associated factor 11 like 9	eukaryote	TAF11	Taf11	taf-11.2	fly:Taf11	2	11	TBP-associated factor 11 | molecular function: protein binding, chromatin binding, RNA polymerase II general transcription initiation factor activity | process: transcription by RNA polymerase II, RNAi-mediated antiviral immune response, protein-RNA complex assembly, positive regulation of transcription by RNA polymerase II	GO:0005515:protein binding [Function|2sp]; GO:0005669:transcription factor TFIID complex [Component|2sp]; GO:0003682:chromatin binding [Function|1sp]; GO:0005634:nucleus [Component|1sp]; GO:0005737:cytoplasm [Component|1sp]; GO:0006366:transcription by RNA polymerase II [Process|1sp]; GO:0009616:RNAi-mediated antiviral immune response [Process|1sp]; GO:0016251:RNA polymerase II general transcription initiation factor activity [Function|1sp]; GO:0022618:protein-RNA complex assembly [Process|1sp]; GO:0045944:positive regulation of transcription by RNA polymerase II [Process|1sp]; GO:0051123:RNA polymerase II preinitiation complex assembly [Process|1sp]
1657	DMXL1	Dmx like 1	eukaryote	RAV1	Rbcn-3A	rbc-1	yeast:RAV1	2	10	Rav1p | molecular function: protein binding | process: vacuolar acidification, regulation of protein localization, lumen formation, open tracheal system, regulation of protein-containing complex assembly	GO:0005515:protein binding [Function|2sp]; GO:0007035:vacuolar acidification [Process|2sp]; GO:0005737:cytoplasm [Component|1sp]; GO:0032880:regulation of protein localization [Process|1sp]; GO:0035149:lumen formation, open tracheal system [Process|1sp]; GO:0043254:regulation of protein-containing complex assembly [Process|1sp]; GO:0043291:RAVE complex [Component|1sp]; GO:0045022:early endosome to late endosome transport [Process|1sp]; GO:0070070:proton-transporting V-type ATPase complex assembly [Process|1sp]; GO:0070072:vacuolar proton-transporting V-type ATPase complex assembly [Process|1sp]
2636	GBX1	gastrulation brain homeobox 1	bilaterian		unpg		mouse:Gbx1	2	10	gastrulation brain homeobox 1 | molecular function: DNA-binding transcription factor activity | process: regulation of DNA-templated transcription, brain development, adult walking behavior, proprioception	GO:0005634:nucleus [Component|2sp]; GO:0003700:DNA-binding transcription factor activity [Function|1sp]; GO:0006355:regulation of DNA-templated transcription [Process|1sp]; GO:0007420:brain development [Process|1sp]; GO:0007628:adult walking behavior [Process|1sp]; GO:0019230:proprioception [Process|1sp]; GO:0021522:spinal cord motor neuron differentiation [Process|1sp]; GO:0048663:neuron fate commitment [Process|1sp]; GO:0051960:regulation of nervous system development [Process|1sp]; GO:0097374:sensory neuron axon guidance [Process|1sp]
389158	PLSCR5	phospholipid scramblase family member 5	eukaryote	AIM25	scramb2	scrm-1,scrm-2,scrm-3	worm:scrm-1	2	10	Phospholipid scramblase | molecular function: protein binding, phospholipid scramblase activity | process: plasma membrane phospholipid scrambling, cellular response to oxidative stress, cellular response to heat, modulation of chemical synaptic transmission	GO:0005886:plasma membrane [Component|2sp]; GO:0005515:protein binding [Function|1sp]; GO:0005739:mitochondrion [Component|1sp]; GO:0017121:plasma membrane phospholipid scrambling [Process|1sp]; GO:0017128:phospholipid scramblase activity [Function|1sp]; GO:0034599:cellular response to oxidative stress [Process|1sp]; GO:0034605:cellular response to heat [Process|1sp]; GO:0050804:modulation of chemical synaptic transmission [Process|1sp]; GO:0070782:phosphatidylserine exposure on apoptotic cell surface [Process|1sp]; GO:1903147:negative regulation of autophagy of mitochondrion [Process|1sp]
376940	ZC3H6	zinc finger CCCH-type containing 6	bilaterian		su(sable)	T26A8.4	fly:su(sable)	2	10	suppressor of sable | molecular function: protein binding, RNA binding | process: negative regulation of DNA-templated transcription, elongation, negative regulation of DNA-templated transcription, nuclear RNA surveillance	GO:0005515:protein binding [Function|2sp]; GO:0000791:euchromatin [Component|1sp]; GO:0003723:RNA binding [Function|1sp]; GO:0005634:nucleus [Component|1sp]; GO:0005654:nucleoplasm [Component|1sp]; GO:0005694:chromosome [Component|1sp]; GO:0005700:polytene chromosome [Component|1sp]; GO:0032785:negative regulation of DNA-templated transcription, elongation [Process|1sp]; GO:0045892:negative regulation of DNA-templated transcription [Process|1sp]; GO:0071027:nuclear RNA surveillance [Process|1sp]
4112	MAGEB1	MAGE family member B1	eukaryote	NSE3	MAGE		yeast:NSE3	2	9	Smc5-Smc6 complex subunit NSE3 | molecular function: protein binding, SUMO transferase activity | process: DNA repair, DNA damage response, negative regulation of neuroblast proliferation, negative regulation of neuron apoptotic process	GO:0005515:protein binding [Function|2sp]; GO:0005634:nucleus [Component|1sp]; GO:0005737:cytoplasm [Component|1sp]; GO:0006281:DNA repair [Process|1sp]; GO:0006974:DNA damage response [Process|1sp]; GO:0007406:negative regulation of neuroblast proliferation [Process|1sp]; GO:0019789:SUMO transferase activity [Function|1sp]; GO:0030915:Smc5-Smc6 complex [Component|1sp]; GO:0043524:negative regulation of neuron apoptotic process [Process|1sp]
93979	CPA5	carboxypeptidase A5	eukaryote	ECM14	CG18585,CG7025,CG4017,CG17633,CG2915,CG12374,CG14820,CG8563,CG8562,CG18417,CG8560,CG8539,CG4408,CG32379,CG42264	suro-1,W01A8.6,ZC434.9,T06A4.1,T06A4.3,Y18H1A.9,Y59C2A.1	fly:CG2915	2	8	uncharacterized protein | molecular function: peptidase activity	GO:0005576:extracellular region [Component|2sp]; GO:0000324:fungal-type vacuole [Component|1sp]; GO:0005737:cytoplasm [Component|1sp]; GO:0008233:peptidase activity [Function|1sp]; GO:0012505:endomembrane system [Component|1sp]; GO:0031410:cytoplasmic vesicle [Component|1sp]; GO:0031982:vesicle [Component|1sp]; GO:0060102:cuticular extracellular matrix [Component|1sp]
100101490	MCTS2	MCTS family member 2	eukaryote	TMA20	MCTS1	C11D2.7	yeast:TMA20	2	7	translation machinery-associated protein 20 | molecular function: protein binding | process: nuclear-transcribed mRNA catabolic process, nonsense-mediated decay, translation reinitiation, ribosome biogenesis	GO:0005515:protein binding [Function|2sp]; GO:0000184:nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [Process|1sp]; GO:0002188:translation reinitiation [Process|1sp]; GO:0005737:cytoplasm [Component|1sp]; GO:0005829:cytosol [Component|1sp]; GO:0032991:protein-containing complex [Component|1sp]; GO:0042254:ribosome biogenesis [Process|1sp]
132160	PPM1M	protein phosphatase, Mg2+/Mn2+ dependent 1M	eukaryote	PTC4	CG17598	ppm-1.H	mouse:Ppm1m	2	7	protein phosphatase 1M | molecular function: phosphoprotein phosphatase activity, protein serine/threonine phosphatase activity, protein binding | process: protein dephosphorylation	GO:0006470:protein dephosphorylation [Process|2sp]; GO:0004721:phosphoprotein phosphatase activity [Function|1sp]; GO:0004722:protein serine/threonine phosphatase activity [Function|1sp]; GO:0005515:protein binding [Function|1sp]; GO:0005634:nucleus [Component|1sp]; GO:0005737:cytoplasm [Component|1sp]; GO:0030145:manganese ion binding [Function|1sp]
140032	RPS4Y2	ribosomal protein S4 Y-linked 2	eukaryote	RPS4B,RPS4A	RpS4	rps-4	yeast:RPS4B	2	5	40S ribosomal protein eS4 RPS4B | molecular function: structural constituent of ribosome	GO:0003735:structural constituent of ribosome [Function|2sp]; GO:0005737:cytoplasm [Component|1sp]; GO:0022626:cytosolic ribosome [Component|1sp]; GO:0022627:cytosolic small ribosomal subunit [Component|1sp]; GO:0030686:90S preribosome [Component|1sp]
387707	CC2D2B	coiled-coil and C2 domain containing 2B	bilaterian		Cc2d2a	mks-6	worm:mks-6	2	4	C2 domain-containing protein | process: protein localization to ciliary transition zone, non-motile cilium assembly	GO:0035869:ciliary transition zone [Component|2sp]; GO:0044292:dendrite terminus [Component|1sp]; GO:1904491:protein localization to ciliary transition zone [Process|1sp]; GO:1905515:non-motile cilium assembly [Process|1sp]
153768	PRELID2	PRELI domain containing 2	eukaryote	UPS3			yeast:UPS3	2	4	Ups3p | molecular function: protein binding | process: mitochondrion organization	GO:0005739:mitochondrion [Component|2sp]; GO:0005515:protein binding [Function|1sp]; GO:0005758:mitochondrial intermembrane space [Component|1sp]; GO:0007005:mitochondrion organization [Process|1sp]
219293	ATAD3C	ATPase family AAA domain containing 3C	bilaterian		bor	atad-3	worm:atad-3	2	3	ATPase family AAA domain-containing protein 3 | process: mitochondrion organization	GO:0005739:mitochondrion [Component|2sp]; GO:0007005:mitochondrion organization [Process|2sp]; GO:0005743:mitochondrial inner membrane [Component|1sp]
101929796	NOTCH2NLR	notch 2 N-terminal like R	bilaterian		N		fly:N	1	120	Notch | molecular function: chromatin binding, transcription coactivator activity, transmembrane signaling receptor activity | process: compound eye morphogenesis, positive regulation of neuroblast proliferation, defense response to insect, regulation of glycolytic process	GO:0001745:compound eye morphogenesis [Process|1sp]; GO:0002052:positive regulation of neuroblast proliferation [Process|1sp]; GO:0002213:defense response to insect [Process|1sp]; GO:0003682:chromatin binding [Function|1sp]; GO:0003713:transcription coactivator activity [Function|1sp]; GO:0004888:transmembrane signaling receptor activity [Function|1sp]; GO:0005515:protein binding [Function|1sp]; GO:0005634:nucleus [Component|1sp]; GO:0005737:cytoplasm [Component|1sp]; GO:0005764:lysosome [Component|1sp]; GO:0005768:endosome [Component|1sp]; GO:0005769:early endosome [Component|1sp]
79937	CNTNAP3	contactin associated protein family member 3	bilaterian		Nrx-IV	nlr-1	fly:Nrx-IV	1	25	Neurexin IV | molecular function: gap junction channel activity, actin filament binding | process: heart process, dorsal closure, synaptic target recognition, axon ensheathment	GO:0003015:heart process [Process|1sp]; GO:0005243:gap junction channel activity [Function|1sp]; GO:0005886:plasma membrane [Component|1sp]; GO:0005919:pleated septate junction [Component|1sp]; GO:0005921:gap junction [Component|1sp]; GO:0007391:dorsal closure [Process|1sp]; GO:0008039:synaptic target recognition [Process|1sp]; GO:0008366:axon ensheathment [Process|1sp]; GO:0008542:visual learning [Process|1sp]; GO:0019991:septate junction assembly [Process|1sp]; GO:0021682:nerve maturation [Process|1sp]; GO:0030424:axon [Component|1sp]
256394	SERPINA11	serpin family A member 11	bilaterian		nec,Spn43Aa,Spn55B,Spn88Ea,Spn38F,Spn28F,Spn42Dd,Spn27A,Spn28Dc,Spn31A,Spn47C,Spn53F,Spn88Eb,Spn43Ad,Spn28Da,Spn28Db,Spn28B	srp-8	fly:Spn27A	1	24	Serpin 27A | molecular function: serine-type endopeptidase inhibitor activity | process: defense response to insect, negative regulation of antimicrobial peptide production, insemination, mating	GO:0002213:defense response to insect [Process|1sp]; GO:0002785:negative regulation of antimicrobial peptide production [Process|1sp]; GO:0004867:serine-type endopeptidase inhibitor activity [Function|1sp]; GO:0005576:extracellular region [Component|1sp]; GO:0007320:insemination [Process|1sp]; GO:0007618:mating [Process|1sp]; GO:0009611:response to wounding [Process|1sp]; GO:0009620:response to fungus [Process|1sp]; GO:0009953:dorsal/ventral pattern formation [Process|1sp]; GO:0035006:melanization defense response [Process|1sp]; GO:0035009:negative regulation of melanization defense response [Process|1sp]; GO:0035011:melanotic encapsulation of foreign target [Process|1sp]
96626	LIMS3	LIM zinc finger domain containing 3	bilaterian		stck	unc-97	worm:unc-97	1	22	LIM domain-containing protein unc-97 | molecular function: protein binding, myosin binding | process: mitochondrion organization, dorsal closure, apposition of dorsal and ventral imaginal disc-derived wing surfaces, muscle organ development	GO:0005515:protein binding [Function|1sp]; GO:0005634:nucleus [Component|1sp]; GO:0005654:nucleoplasm [Component|1sp]; GO:0005912:adherens junction [Component|1sp]; GO:0005925:focal adhesion [Component|1sp]; GO:0007005:mitochondrion organization [Process|1sp]; GO:0007391:dorsal closure [Process|1sp]; GO:0007475:apposition of dorsal and ventral imaginal disc-derived wing surfaces [Process|1sp]; GO:0007517:muscle organ development [Process|1sp]; GO:0008258:head involution [Process|1sp]; GO:0009880:embryonic pattern specification [Process|1sp]; GO:0009925:basal plasma membrane [Component|1sp]
170690	ADAMTS16	ADAM metallopeptidase with thrombospondin type 1 motif 16	bilaterian		sona,stl	adt-2	fly:sona	1	21	sol narae | molecular function: metalloendopeptidase activity | process: branching involved in ureteric bud morphogenesis, regulation of systemic arterial blood pressure, proteolysis, determination of adult lifespan	GO:0001658:branching involved in ureteric bud morphogenesis [Process|1sp]; GO:0003073:regulation of systemic arterial blood pressure [Process|1sp]; GO:0004222:metalloendopeptidase activity [Function|1sp]; GO:0005576:extracellular region [Component|1sp]; GO:0005768:endosome [Component|1sp]; GO:0005798:Golgi-associated vesicle [Component|1sp]; GO:0006508:proteolysis [Process|1sp]; GO:0008340:determination of adult lifespan [Process|1sp]; GO:0008361:regulation of cell size [Process|1sp]; GO:0030199:collagen fibril organization [Process|1sp]; GO:0030707:follicle cell of egg chamber development [Process|1sp]; GO:0030713:follicle cell of egg chamber stalk formation [Process|1sp]
728577	CNTNAP3B	contactin associated protein family member 3B	bilaterian		Nrx-IV	nlr-1	fly:Nrx-IV	1	20	Neurexin IV | molecular function: gap junction channel activity, actin filament binding | process: heart process, dorsal closure, synaptic target recognition, axon ensheathment	GO:0003015:heart process [Process|1sp]; GO:0005243:gap junction channel activity [Function|1sp]; GO:0005886:plasma membrane [Component|1sp]; GO:0005919:pleated septate junction [Component|1sp]; GO:0005921:gap junction [Component|1sp]; GO:0007391:dorsal closure [Process|1sp]; GO:0008039:synaptic target recognition [Process|1sp]; GO:0008366:axon ensheathment [Process|1sp]; GO:0019991:septate junction assembly [Process|1sp]; GO:0021682:nerve maturation [Process|1sp]; GO:0035151:regulation of tube size, open tracheal system [Process|1sp]; GO:0045202:synapse [Component|1sp]
730005	SEC14L6	SEC14 like lipid binding 6	eukaryote	YKL091C,SEC14	CG13893	C34C12.6,ctg-1	yeast:SEC14	1	19	phosphatidylinositol/phosphatidylcholine transfer protein SEC14 | molecular function: protein binding, phosphatidylcholine intramembrane carrier activity, phosphatidylinositol transfer activity | process: Golgi to vacuole transport, phospholipid transport, ascospore formation, Golgi to plasma membrane protein transport	GO:0000139:Golgi membrane [Component|1sp]; GO:0005515:protein binding [Function|1sp]; GO:0005634:nucleus [Component|1sp]; GO:0005737:cytoplasm [Component|1sp]; GO:0005794:Golgi apparatus [Component|1sp]; GO:0005829:cytosol [Component|1sp]; GO:0006896:Golgi to vacuole transport [Process|1sp]; GO:0008525:phosphatidylcholine intramembrane carrier activity [Function|1sp]; GO:0008526:phosphatidylinositol transfer activity [Function|1sp]; GO:0015914:phospholipid transport [Process|1sp]; GO:0030437:ascospore formation [Process|1sp]; GO:0031210:phosphatidylcholine binding [Function|1sp]
100129278	TDRD15	tudor domain containing 15	bilaterian		tud		fly:tud	1	18	tudor | molecular function: protein binding, methylation-dependent protein binding | process: pole cell development, pole cell formation, germ cell development, pole plasm assembly	GO:0005515:protein binding [Function|1sp]; GO:0005634:nucleus [Component|1sp]; GO:0005737:cytoplasm [Component|1sp]; GO:0005739:mitochondrion [Component|1sp]; GO:0005829:cytosol [Component|1sp]; GO:0007277:pole cell development [Process|1sp]; GO:0007279:pole cell formation [Process|1sp]; GO:0007281:germ cell development [Process|1sp]; GO:0007315:pole plasm assembly [Process|1sp]; GO:0019093:mitochondrial RNA localization [Process|1sp]; GO:0030719:P granule organization [Process|1sp]; GO:0043186:P granule [Component|1sp]
127002	ATXN7L2	ataxin 7 like 2	eukaryote	SGF73			yeast:SGF73	1	17	deubiquitination module subunit SGF73 | molecular function: histone acetyltransferase activity, structural molecule activity, protein binding | process: chromatin organization, regulation of transcription by RNA polymerase II, mRNA export from nucleus, positive regulation of RNA polymerase II transcription preinitiation complex assembly	GO:0000124:SAGA complex [Component|1sp]; GO:0004402:histone acetyltransferase activity [Function|1sp]; GO:0005198:structural molecule activity [Function|1sp]; GO:0005515:protein binding [Function|1sp]; GO:0005634:nucleus [Component|1sp]; GO:0005737:cytoplasm [Component|1sp]; GO:0005829:cytosol [Component|1sp]; GO:0006325:chromatin organization [Process|1sp]; GO:0006357:regulation of transcription by RNA polymerase II [Process|1sp]; GO:0006406:mRNA export from nucleus [Process|1sp]; GO:0008047:enzyme activator activity [Function|1sp]; GO:0045899:positive regulation of RNA polymerase II transcription preinitiation complex assembly [Process|1sp]
646480	FABP9	fatty acid binding protein 9	bilaterian		fabp	lbp-5,lbp-6,lbp-7,lbp-8	worm:lbp-8	1	16	Fatty acid-binding protein homolog 8 | molecular function: long-chain fatty acid transmembrane transporter activity, fatty acid binding, protein binding | process: acrosome assembly, long-term memory, long-chain fatty acid transport, chitin-based cuticle development	GO:0001669:acrosomal vesicle [Component|1sp]; GO:0001675:acrosome assembly [Process|1sp]; GO:0005324:long-chain fatty acid transmembrane transporter activity [Function|1sp]; GO:0005504:fatty acid binding [Function|1sp]; GO:0005515:protein binding [Function|1sp]; GO:0005634:nucleus [Component|1sp]; GO:0005654:nucleoplasm [Component|1sp]; GO:0005764:lysosome [Component|1sp]; GO:0005829:cytosol [Component|1sp]; GO:0007616:long-term memory [Process|1sp]; GO:0015909:long-chain fatty acid transport [Process|1sp]; GO:0033011:perinuclear theca [Component|1sp]
402665	IGLON5	IgLON family member 5	bilaterian		Ama,DIP-η,DIP-ι,DIP-γ,DIP-θ,DIP-ζ,DIP-κ,DIP-α,DIP-β,DIP-ε,DIP-λ	rig-5	fly:Ama	1	16	Amalgam | molecular function: protein binding, receptor ligand activity | process: heterophilic cell-cell adhesion, establishment of synaptic specificity at neuromuscular junction, maintenance of blood-brain barrier, positive regulation of epidermal growth factor receptor signaling pathway	GO:0005515:protein binding [Function|1sp]; GO:0005576:extracellular region [Component|1sp]; GO:0005886:plasma membrane [Component|1sp]; GO:0007157:heterophilic cell-cell adhesion [Process|1sp]; GO:0007529:establishment of synaptic specificity at neuromuscular junction [Process|1sp]; GO:0032589:neuron projection membrane [Component|1sp]; GO:0035633:maintenance of blood-brain barrier [Process|1sp]; GO:0045742:positive regulation of epidermal growth factor receptor signaling pathway [Process|1sp]; GO:0048018:receptor ligand activity [Function|1sp]; GO:0050808:synapse organization [Process|1sp]; GO:0050885:neuromuscular process controlling balance [Process|1sp]; GO:0060252:positive regulation of glial cell proliferation [Process|1sp]
4636	MYL5	myosin light chain 5	eukaryote	MLC2	Mlc2	mlc-1,mlc-2	yeast:MLC2	1	16	Mlc2p | molecular function: protein binding, myosin II heavy chain binding | process: nematode larval development, muscle system process, regulation of muscle contraction, muscle organ development	GO:0000131:incipient cellular bud site [Component|1sp]; GO:0000142:cellular bud neck contractile ring [Component|1sp]; GO:0002119:nematode larval development [Process|1sp]; GO:0003012:muscle system process [Process|1sp]; GO:0005515:protein binding [Function|1sp]; GO:0005859:muscle myosin complex [Component|1sp]; GO:0006937:regulation of muscle contraction [Process|1sp]; GO:0007517:muscle organ development [Process|1sp]; GO:0016460:myosin II complex [Component|1sp]; GO:0030016:myofibril [Component|1sp]; GO:0030239:myofibril assembly [Process|1sp]; GO:0032038:myosin II heavy chain binding [Function|1sp]
151050	KANSL1L	KAT8 regulatory NSL complex subunit 1 like	bilaterian		nsl1		fly:nsl1	1	15	non-specific lethal 1 | molecular function: chromatin binding, protein binding, histone acetyltransferase binding | process: larval somatic muscle development, neuromuscular junction development, regulation of endocytosis, germ-line stem cell population maintenance	GO:0003682:chromatin binding [Function|1sp]; GO:0005515:protein binding [Function|1sp]; GO:0005634:nucleus [Component|1sp]; GO:0005705:polytene chromosome interband [Component|1sp]; GO:0005737:cytoplasm [Component|1sp]; GO:0007526:larval somatic muscle development [Process|1sp]; GO:0007528:neuromuscular junction development [Process|1sp]; GO:0030100:regulation of endocytosis [Process|1sp]; GO:0030718:germ-line stem cell population maintenance [Process|1sp]; GO:0030727:germarium-derived female germ-line cyst formation [Process|1sp]; GO:0035035:histone acetyltransferase binding [Function|1sp]; GO:0044545:NSL complex [Component|1sp]
84752	B3GNT9	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 9	bilaterian		brn	bre-5	fly:brn	1	14	brainiac | molecular function: acetylglucosaminyltransferase activity, beta-1,4-mannosylglycolipid beta-1,3-N-acetylglucosaminyltransferase activity | process: insect visual primordium formation, germarium-derived egg chamber formation, border follicle cell migration, follicle cell of egg chamber-cell adhesion	GO:0001744:insect visual primordium formation [Process|1sp]; GO:0007293:germarium-derived egg chamber formation [Process|1sp]; GO:0007298:border follicle cell migration [Process|1sp]; GO:0007299:follicle cell of egg chamber-cell adhesion [Process|1sp]; GO:0008375:acetylglucosaminyltransferase activity [Function|1sp]; GO:0009636:response to toxic substance [Process|1sp]; GO:0016051:carbohydrate biosynthetic process [Process|1sp]; GO:0016333:morphogenesis of follicular epithelium [Process|1sp]; GO:0030707:follicle cell of egg chamber development [Process|1sp]; GO:0042248:maintenance of polarity of follicular epithelium [Process|1sp]; GO:0042661:regulation of mesodermal cell fate specification [Process|1sp]; GO:0045747:positive regulation of Notch signaling pathway [Process|1sp]
27013	CNPPD1	cyclin Pas1/PHO80 domain containing 1	eukaryote	PCL9,PCL1,PCL2,CLG1	CG40191	F09G2.2	yeast:PCL9	1	14	Pcl9p | molecular function: protein binding, cyclin-dependent protein serine/threonine kinase regulator activity | process: G1/S transition of mitotic cell cycle, regulation of DNA-templated transcription, regulation of transcription by RNA polymerase II, positive regulation of macroautophagy	GO:0000082:G1/S transition of mitotic cell cycle [Process|1sp]; GO:0000131:incipient cellular bud site [Component|1sp]; GO:0000307:cyclin-dependent protein kinase holoenzyme complex [Component|1sp]; GO:0005515:protein binding [Function|1sp]; GO:0005634:nucleus [Component|1sp]; GO:0005934:cellular bud tip [Component|1sp]; GO:0005935:cellular bud neck [Component|1sp]; GO:0006355:regulation of DNA-templated transcription [Process|1sp]; GO:0006357:regulation of transcription by RNA polymerase II [Process|1sp]; GO:0016239:positive regulation of macroautophagy [Process|1sp]; GO:0016538:cyclin-dependent protein serine/threonine kinase regulator activity [Function|1sp]; GO:0031106:septin ring organization [Process|1sp]
91828	EXOC3L4	exocyst complex component 3 like 4	bilaterian		Sec6		fly:Sec6	1	14	Secretory 6 | process: exocytosis, plasma membrane organization, border follicle cell migration, follicle cell of egg chamber development	GO:0000145:exocyst [Component|1sp]; GO:0005737:cytoplasm [Component|1sp]; GO:0005915:zonula adherens [Component|1sp]; GO:0006887:exocytosis [Process|1sp]; GO:0007009:plasma membrane organization [Process|1sp]; GO:0007298:border follicle cell migration [Process|1sp]; GO:0016020:membrane [Component|1sp]; GO:0016028:rhabdomere [Component|1sp]; GO:0030707:follicle cell of egg chamber development [Process|1sp]; GO:0032456:endocytic recycling [Process|1sp]; GO:0043001:Golgi to plasma membrane protein transport [Process|1sp]; GO:0045313:rhabdomere membrane biogenesis [Process|1sp]
402635	GRIFIN	galectin-related inter-fiber protein	bilaterian		CG13950	lec-1,lec-3,lec-6,lec-7,lec-8,lec-10	worm:lec-8	1	14	putative galaptin lec-8 | molecular function: protein binding, galactoside binding, lactose binding | process: response to toxic substance, endoplasmic reticulum unfolded protein response, IRE1-mediated unfolded protein response, camera-type eye development	GO:0005515:protein binding [Function|1sp]; GO:0005737:cytoplasm [Component|1sp]; GO:0005886:plasma membrane [Component|1sp]; GO:0009636:response to toxic substance [Process|1sp]; GO:0016936:galactoside binding [Function|1sp]; GO:0030395:lactose binding [Function|1sp]; GO:0030968:endoplasmic reticulum unfolded protein response [Process|1sp]; GO:0031410:cytoplasmic vesicle [Component|1sp]; GO:0036498:IRE1-mediated unfolded protein response [Process|1sp]; GO:0043010:camera-type eye development [Process|1sp]; GO:0045121:membrane raft [Component|1sp]; GO:0045177:apical part of cell [Component|1sp]
84176	MYH16	myosin heavy chain 16	bilaterian		Prm	unc-15	worm:unc-15	1	14	Paramyosin | molecular function: cytoskeletal protein binding, SH3 domain binding, protein kinase binding | process: mesoderm development, myofibril assembly, skeletal muscle myosin thick filament assembly, locomotion	GO:0005863:striated muscle myosin thick filament [Component|1sp]; GO:0007498:mesoderm development [Process|1sp]; GO:0008092:cytoskeletal protein binding [Function|1sp]; GO:0017124:SH3 domain binding [Function|1sp]; GO:0019901:protein kinase binding [Function|1sp]; GO:0030239:myofibril assembly [Process|1sp]; GO:0030241:skeletal muscle myosin thick filament assembly [Process|1sp]; GO:0031430:M band [Component|1sp]; GO:0031672:A band [Component|1sp]; GO:0032982:myosin filament [Component|1sp]; GO:0040011:locomotion [Process|1sp]; GO:0051493:regulation of cytoskeleton organization [Process|1sp]
