gene_id	symbol	name	conservation_depth	n_ortholog_species	annotation_status	human_go_exp	ortholog_evidence_source	max_species_support	n_ortholog_novel_go	ortholog_inferred_function	ortholog_novel_go_terms
51734	MSRB1	methionine sulfoxide reductase B1	vertebrate	670	sparse	2	mouse:Msrb1	1	10	methionine sulfoxide reductase B1 | molecular function: actin binding, zinc ion binding, peptide-methionine (R)-S-oxide reductase activity | process: actin filament polymerization, protein repair, innate immune response	GO:0003779:actin binding [Function|1sp]; GO:0005634:nucleus [Component|1sp]; GO:0005737:cytoplasm [Component|1sp]; GO:0008270:zinc ion binding [Function|1sp]; GO:0015629:actin cytoskeleton [Component|1sp]; GO:0030041:actin filament polymerization [Process|1sp]; GO:0030091:protein repair [Process|1sp]; GO:0033743:peptide-methionine (R)-S-oxide reductase activity [Function|1sp]; GO:0033745:L-methionine (R)-S-oxide reductase activity [Function|1sp]; GO:0045087:innate immune response [Process|1sp]
64779	MTHFSD	methenyltetrahydrofolate synthetase domain containing	bilaterian	869	sparse	1	fly:lost	1	10	lost | process: pole cell development, anterior/posterior pattern specification, pole plasm mRNA localization, pole plasm oskar mRNA localization	GO:0000932:P-body [Component|1sp]; GO:0005737:cytoplasm [Component|1sp]; GO:0005829:cytosol [Component|1sp]; GO:0007277:pole cell development [Process|1sp]; GO:0009952:anterior/posterior pattern specification [Process|1sp]; GO:0019094:pole plasm mRNA localization [Process|1sp]; GO:0045451:pole plasm oskar mRNA localization [Process|1sp]; GO:0071011:precatalytic spliceosome [Component|1sp]; GO:0071013:catalytic step 2 spliceosome [Component|1sp]; GO:1990904:ribonucleoprotein complex [Component|1sp]
93408	MYL10	myosin light chain 10	bilaterian	644	sparse	2	worm:mlc-1	1	10	Myosin regulatory light chain 1 | process: nematode larval development, muscle system process, regulation of muscle contraction, muscle organ development	GO:0002119:nematode larval development [Process|1sp]; GO:0003012:muscle system process [Process|1sp]; GO:0005859:muscle myosin complex [Component|1sp]; GO:0006937:regulation of muscle contraction [Process|1sp]; GO:0007517:muscle organ development [Process|1sp]; GO:0030016:myofibril [Component|1sp]; GO:0030239:myofibril assembly [Process|1sp]; GO:0040011:locomotion [Process|1sp]; GO:0043051:regulation of nematode pharyngeal pumping [Process|1sp]; GO:0060361:flight [Process|1sp]
4909	NTF4	neurotrophin 4	jawed_vertebrate	327	sparse	2	mouse:Ntf5	1	10	neurotrophin 5 | process: ganglion mother cell fate determination, long-term memory, sensory organ boundary specification, adult locomotory behavior	GO:0007402:ganglion mother cell fate determination [Process|1sp]; GO:0007616:long-term memory [Process|1sp]; GO:0008052:sensory organ boundary specification [Process|1sp]; GO:0008344:adult locomotory behavior [Process|1sp]; GO:0008544:epidermis development [Process|1sp]; GO:0036305:ameloblast differentiation [Process|1sp]; GO:0042490:mechanoreceptor differentiation [Process|1sp]; GO:0043069:negative regulation of programmed cell death [Process|1sp]; GO:0060384:innervation [Process|1sp]; GO:0061193:taste bud development [Process|1sp]
254552	NUDT8	nudix hydrolase 8	bilaterian	818	sparse	1	mouse:Nudt8	1	10	nudix hydrolase 8 | molecular function: magnesium ion binding, coenzyme A diphosphatase activity, manganese ion binding | process: coenzyme A catabolic process, medium-chain fatty-acyl-CoA catabolic process, butyryl-CoA catabolic process, acetyl-CoA catabolic process	GO:0000287:magnesium ion binding [Function|1sp]; GO:0010945:coenzyme A diphosphatase activity [Function|1sp]; GO:0015938:coenzyme A catabolic process [Process|1sp]; GO:0030145:manganese ion binding [Function|1sp]; GO:0036114:medium-chain fatty-acyl-CoA catabolic process [Process|1sp]; GO:0044580:butyryl-CoA catabolic process [Process|1sp]; GO:0046356:acetyl-CoA catabolic process [Process|1sp]; GO:1901289:succinyl-CoA catabolic process [Process|1sp]; GO:1902859:propionyl-CoA catabolic process [Process|1sp]; GO:2001294:malonyl-CoA catabolic process [Process|1sp]
27344	PCSK1N	proprotein convertase subtilisin/kexin type 1 inhibitor	tetrapod	324	sparse	1	mouse:Pcsk1n	1	10	proprotein convertase subtilisin/kexin type 1 inhibitor | molecular function: endopeptidase inhibitor activity, serine-type endopeptidase inhibitor activity, protein-containing complex destabilizing activity | process: response to dietary excess, response to cold, peptide hormone processing, nervous system process	GO:0002021:response to dietary excess [Process|1sp]; GO:0004866:endopeptidase inhibitor activity [Function|1sp]; GO:0004867:serine-type endopeptidase inhibitor activity [Function|1sp]; GO:0005802:trans-Golgi network [Component|1sp]; GO:0009409:response to cold [Process|1sp]; GO:0016486:peptide hormone processing [Process|1sp]; GO:0030141:secretory granule [Component|1sp]; GO:0050877:nervous system process [Process|1sp]; GO:0098754:detoxification [Process|1sp]; GO:0140776:protein-containing complex destabilizing activity [Function|1sp]
26279	PLA2G2D	phospholipase A2 group IID	bilaterian	209	sparse	2	mouse:Pla2g2d	1	10	phospholipase A2, group IID | molecular function: heparin binding, heparan sulfate proteoglycan binding | process: CD4-positive, CD25-positive, alpha-beta regulatory T cell differentiation, regulation of acute inflammatory response to antigenic stimulus, negative regulation of T cell proliferation, phosphatidylethanolamine metabolic process	GO:0002361:CD4-positive, CD25-positive, alpha-beta regulatory T cell differentiation [Process|1sp]; GO:0002864:regulation of acute inflammatory response to antigenic stimulus [Process|1sp]; GO:0005576:extracellular region [Component|1sp]; GO:0005886:plasma membrane [Component|1sp]; GO:0008201:heparin binding [Function|1sp]; GO:0042130:negative regulation of T cell proliferation [Process|1sp]; GO:0043395:heparan sulfate proteoglycan binding [Function|1sp]; GO:0046337:phosphatidylethanolamine metabolic process [Process|1sp]; GO:0046471:phosphatidylglycerol metabolic process [Process|1sp]; GO:0050868:negative regulation of T cell activation [Process|1sp]
51316	PLAC8	placenta associated 8	vertebrate	288	uncharacterized	0	mouse:Plac8	1	10	placenta-specific 8 | molecular function: chromatin binding, protein binding | process: positive regulation of cell population proliferation, response to cold, negative regulation of multicellular organism growth, defense response to bacterium	GO:0003682:chromatin binding [Function|1sp]; GO:0005515:protein binding [Function|1sp]; GO:0008284:positive regulation of cell population proliferation [Process|1sp]; GO:0009409:response to cold [Process|1sp]; GO:0040015:negative regulation of multicellular organism growth [Process|1sp]; GO:0042742:defense response to bacterium [Process|1sp]; GO:0043066:negative regulation of apoptotic process [Process|1sp]; GO:0045944:positive regulation of transcription by RNA polymerase II [Process|1sp]; GO:0050873:brown fat cell differentiation [Process|1sp]; GO:0120162:positive regulation of cold-induced thermogenesis [Process|1sp]
26499	PLEK2	pleckstrin 2	jawed_vertebrate	847	sparse	0	mouse:Plek2	1	10	pleckstrin 2 | molecular function: protein binding, phosphatidylinositol-3-phosphate binding, phosphatidylinositol-3,4-bisphosphate binding | process: actin cytoskeleton organization, positive regulation of cell projection organization, erythrocyte enucleation, positive regulation of plasma membrane bounded cell projection assembly	GO:0005515:protein binding [Function|1sp]; GO:0005886:plasma membrane [Component|1sp]; GO:0016020:membrane [Component|1sp]; GO:0030036:actin cytoskeleton organization [Process|1sp]; GO:0031346:positive regulation of cell projection organization [Process|1sp]; GO:0032266:phosphatidylinositol-3-phosphate binding [Function|1sp]; GO:0043131:erythrocyte enucleation [Process|1sp]; GO:0043325:phosphatidylinositol-3,4-bisphosphate binding [Function|1sp]; GO:0080025:phosphatidylinositol-3,5-bisphosphate binding [Function|1sp]; GO:0120034:positive regulation of plasma membrane bounded cell projection assembly [Process|1sp]
57480	PLEKHG1	pleckstrin homology and RhoGEF domain containing G1	bilaterian	550	sparse	1	fly:GEFmeso	1	10	Guanine nucleotide exchange factor in mesoderm | molecular function: guanyl-nucleotide exchange factor activity, protein domain specific binding, small GTPase binding | process: imaginal disc-derived wing vein specification, imaginal disc-derived leg morphogenesis, regulation of Cdc42 protein signal transduction, positive regulation of epidermal growth factor receptor signaling pathway	GO:0005085:guanyl-nucleotide exchange factor activity [Function|1sp]; GO:0007474:imaginal disc-derived wing vein specification [Process|1sp]; GO:0007480:imaginal disc-derived leg morphogenesis [Process|1sp]; GO:0019904:protein domain specific binding [Function|1sp]; GO:0031267:small GTPase binding [Function|1sp]; GO:0032489:regulation of Cdc42 protein signal transduction [Process|1sp]; GO:0045742:positive regulation of epidermal growth factor receptor signaling pathway [Process|1sp]; GO:0055120:striated muscle dense body [Component|1sp]; GO:1901074:regulation of engulfment of apoptotic cell [Process|1sp]; GO:2000648:positive regulation of stem cell proliferation [Process|1sp]
64857	PLEKHG2	pleckstrin homology and RhoGEF domain containing G2	bilaterian	590	sparse	2	fly:GEFmeso	1	10	Guanine nucleotide exchange factor in mesoderm | molecular function: guanyl-nucleotide exchange factor activity, protein domain specific binding, small GTPase binding | process: imaginal disc-derived wing vein specification, imaginal disc-derived leg morphogenesis, regulation of Cdc42 protein signal transduction, positive regulation of epidermal growth factor receptor signaling pathway	GO:0005085:guanyl-nucleotide exchange factor activity [Function|1sp]; GO:0007474:imaginal disc-derived wing vein specification [Process|1sp]; GO:0007480:imaginal disc-derived leg morphogenesis [Process|1sp]; GO:0019904:protein domain specific binding [Function|1sp]; GO:0031267:small GTPase binding [Function|1sp]; GO:0032489:regulation of Cdc42 protein signal transduction [Process|1sp]; GO:0045742:positive regulation of epidermal growth factor receptor signaling pathway [Process|1sp]; GO:0055120:striated muscle dense body [Component|1sp]; GO:1901074:regulation of engulfment of apoptotic cell [Process|1sp]; GO:2000648:positive regulation of stem cell proliferation [Process|1sp]
147699	PPM1N	protein phosphatase, Mg2+/Mn2+ dependent 1N (putative)	eukaryote	286	uncharacterized	0	yeast:PTC2	1	10	type 2C protein phosphatase PTC2 | molecular function: protein serine/threonine phosphatase activity, protein binding, MAP kinase serine/threonine phosphatase activity | process: positive regulation of autophagy, negative regulation of endoplasmic reticulum unfolded protein response, negative regulation of p38MAPK cascade, regulation of mitotic DNA damage checkpoint	GO:0004722:protein serine/threonine phosphatase activity [Function|1sp]; GO:0005515:protein binding [Function|1sp]; GO:0005634:nucleus [Component|1sp]; GO:0005737:cytoplasm [Component|1sp]; GO:0010508:positive regulation of autophagy [Process|1sp]; GO:0045202:synapse [Component|1sp]; GO:1900102:negative regulation of endoplasmic reticulum unfolded protein response [Process|1sp]; GO:1903753:negative regulation of p38MAPK cascade [Process|1sp]; GO:1904289:regulation of mitotic DNA damage checkpoint [Process|1sp]; GO:1990439:MAP kinase serine/threonine phosphatase activity [Function|1sp]
375743	PTAR1	protein prenyltransferase alpha subunit repeat containing 1	eukaryote	865	sparse	2	yeast:ECM9	1	10	Ecm9p | molecular function: Rab geranylgeranyltransferase activity, geranylgeranyltransferase type III activity | process: protein targeting to membrane, autophagy, sensory organ development, fungal-type cell wall organization	GO:0004663:Rab geranylgeranyltransferase activity [Function|1sp]; GO:0005737:cytoplasm [Component|1sp]; GO:0005968:Rab-protein geranylgeranyltransferase complex [Component|1sp]; GO:0006612:protein targeting to membrane [Process|1sp]; GO:0006914:autophagy [Process|1sp]; GO:0007423:sensory organ development [Process|1sp]; GO:0031505:fungal-type cell wall organization [Process|1sp]; GO:0071555:cell wall organization [Process|1sp]; GO:0170068:geranylgeranyltransferase type III activity [Function|1sp]; GO:0170069:geranylgeranyltransferase-III complex [Component|1sp]
23551	RASD2	RASD family member 2	bilaterian	542	sparse	1	rat:Rasd2	1	10	RASD family, member 2 | molecular function: protein binding, GTP binding, ubiquitin conjugating enzyme binding | process: synaptic transmission, dopaminergic, locomotory behavior, negative regulation of protein ubiquitination, positive regulation of protein sumoylation	GO:0001963:synaptic transmission, dopaminergic [Process|1sp]; GO:0005515:protein binding [Function|1sp]; GO:0005525:GTP binding [Function|1sp]; GO:0005886:plasma membrane [Component|1sp]; GO:0007626:locomotory behavior [Process|1sp]; GO:0031397:negative regulation of protein ubiquitination [Process|1sp]; GO:0031624:ubiquitin conjugating enzyme binding [Function|1sp]; GO:0033235:positive regulation of protein sumoylation [Process|1sp]; GO:0043548:phosphatidylinositol 3-kinase binding [Function|1sp]; GO:0051897:positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction [Process|1sp]
25780	RASGRP3	RAS guanyl releasing protein 3	eukaryote	858	sparse	2	yeast:LTE1	1	10	mitotic regulator LTE1 | molecular function: guanyl-nucleotide exchange factor activity | process: chemotaxis, vesicle-mediated transport, positive regulation of exit from mitosis, mitotic spindle orientation checkpoint signaling	GO:0005085:guanyl-nucleotide exchange factor activity [Function|1sp]; GO:0005737:cytoplasm [Component|1sp]; GO:0005933:cellular bud [Component|1sp]; GO:0006935:chemotaxis [Process|1sp]; GO:0016192:vesicle-mediated transport [Process|1sp]; GO:0031536:positive regulation of exit from mitosis [Process|1sp]; GO:0031578:mitotic spindle orientation checkpoint signaling [Process|1sp]; GO:0043231:intracellular membrane-bounded organelle [Component|1sp]; GO:0046579:positive regulation of Ras protein signal transduction [Process|1sp]; GO:1902480:protein localization to mitotic spindle [Process|1sp]
431704	RGS21	regulator of G protein signaling 21	eukaryote	497	sparse	0	yeast:SST2	1	10	GTPase-activating protein SST2 | molecular function: GTPase activator activity, protein binding | process: conjugation with cellular fusion, signal transduction, transmission of nerve impulse, sensory perception of bitter taste	GO:0000747:conjugation with cellular fusion [Process|1sp]; GO:0005096:GTPase activator activity [Function|1sp]; GO:0005515:protein binding [Function|1sp]; GO:0005886:plasma membrane [Component|1sp]; GO:0007165:signal transduction [Process|1sp]; GO:0019226:transmission of nerve impulse [Process|1sp]; GO:0050913:sensory perception of bitter taste [Process|1sp]; GO:0050916:sensory perception of sweet taste [Process|1sp]; GO:0050917:sensory perception of umami taste [Process|1sp]; GO:0071444:cellular response to pheromone [Process|1sp]
285671	RNF180	ring finger protein 180	vertebrate	552	sparse	1	mouse:Rnf180	1	10	ring finger protein 180 | molecular function: ubiquitin conjugating enzyme binding, ubiquitin protein ligase activity | process: protein polyubiquitination, adult behavior, positive regulation of protein ubiquitination, positive regulation of proteasomal ubiquitin-dependent protein catabolic process	GO:0000209:protein polyubiquitination [Process|1sp]; GO:0005789:endoplasmic reticulum membrane [Component|1sp]; GO:0030534:adult behavior [Process|1sp]; GO:0031398:positive regulation of protein ubiquitination [Process|1sp]; GO:0031624:ubiquitin conjugating enzyme binding [Function|1sp]; GO:0032436:positive regulation of proteasomal ubiquitin-dependent protein catabolic process [Process|1sp]; GO:0042415:norepinephrine metabolic process [Process|1sp]; GO:0042428:serotonin metabolic process [Process|1sp]; GO:0050790:regulation of catalytic activity [Process|1sp]; GO:0061630:ubiquitin protein ligase activity [Function|1sp]
221935	SDK1	sidekick cell adhesion molecule 1	bilaterian	515	sparse	0	fly:sdk	1	10	sidekick | molecular function: cell adhesion receptor activity | process: homophilic cell-cell adhesion, compound eye cone cell differentiation, negative regulation of photoreceptor cell differentiation, behavioral response to cocaine	GO:0004895:cell adhesion receptor activity [Function|1sp]; GO:0007156:homophilic cell-cell adhesion [Process|1sp]; GO:0042675:compound eye cone cell differentiation [Process|1sp]; GO:0045177:apical part of cell [Component|1sp]; GO:0045202:synapse [Component|1sp]; GO:0046533:negative regulation of photoreceptor cell differentiation [Process|1sp]; GO:0048148:behavioral response to cocaine [Process|1sp]; GO:0050931:pigment cell differentiation [Process|1sp]; GO:0060998:regulation of dendritic spine development [Process|1sp]; GO:0098595:perivitelline space [Component|1sp]
6906	SERPINA7	serpin family A member 7	bilaterian	241	sparse	2	rat:Serpina7	1	10	serpin family A member 7 | molecular function: hormone binding | process: response to xenobiotic stimulus, post-embryonic development, response to nutrient levels, response to vitamin A	GO:0005576:extracellular region [Component|1sp]; GO:0009410:response to xenobiotic stimulus [Process|1sp]; GO:0009791:post-embryonic development [Process|1sp]; GO:0031667:response to nutrient levels [Process|1sp]; GO:0033189:response to vitamin A [Process|1sp]; GO:0034695:response to prostaglandin E [Process|1sp]; GO:0042562:hormone binding [Function|1sp]; GO:0043434:response to peptide hormone [Process|1sp]; GO:0048545:response to steroid hormone [Process|1sp]; GO:0051412:response to corticosterone [Process|1sp]
80851	SH3BP5L	SH3 binding domain protein 5 like	bilaterian	744	sparse	2	fly:pcs	1	10	parcas | molecular function: protein tyrosine kinase inhibitor activity | process: female germline ring canal formation, mesoderm development, muscle organ development, anterior/posterior pattern specification	GO:0005737:cytoplasm [Component|1sp]; GO:0005886:plasma membrane [Component|1sp]; GO:0007301:female germline ring canal formation [Process|1sp]; GO:0007498:mesoderm development [Process|1sp]; GO:0007517:muscle organ development [Process|1sp]; GO:0009952:anterior/posterior pattern specification [Process|1sp]; GO:0030292:protein tyrosine kinase inhibitor activity [Function|1sp]; GO:0042694:muscle cell fate specification [Process|1sp]; GO:0048644:muscle organ morphogenesis [Process|1sp]; GO:0098548:cytoplasmic side of Golgi membrane [Component|1sp]
55356	SLC22A15	solute carrier family 22 member 15	bilaterian	865	sparse	2	fly:CarT	1	10	Carcinine transporter | molecular function: transmembrane transporter activity, carcinine transmembrane transporter activity | process: visual perception, determination of adult lifespan, positive regulation of cell growth, positive regulation of multicellular organism growth	GO:0007601:visual perception [Process|1sp]; GO:0008340:determination of adult lifespan [Process|1sp]; GO:0022857:transmembrane transporter activity [Function|1sp]; GO:0030307:positive regulation of cell growth [Process|1sp]; GO:0040018:positive regulation of multicellular organism growth [Process|1sp]; GO:0043679:axon terminus [Component|1sp]; GO:0050908:detection of light stimulus involved in visual perception [Process|1sp]; GO:0055085:transmembrane transport [Process|1sp]; GO:1905130:carcinine import across plasma membrane [Process|1sp]; GO:1905131:carcinine transmembrane transporter activity [Function|1sp]
348932	SLC6A18	solute carrier family 6 member 18	bilaterian	451	sparse	0	mouse:Slc6a18	1	10	solute carrier family 6 (neurotransmitter transporter), member 18 | molecular function: protein binding, neutral L-amino acid transmembrane transporter activity, neutral L-amino acid:sodium:chloride symporter activity | process: amino acid transmembrane transport, hyperosmotic response, neutral amino acid transport, renal amino acid absorption	GO:0003333:amino acid transmembrane transport [Process|1sp]; GO:0005515:protein binding [Function|1sp]; GO:0005886:plasma membrane [Component|1sp]; GO:0006972:hyperosmotic response [Process|1sp]; GO:0015175:neutral L-amino acid transmembrane transporter activity [Function|1sp]; GO:0015804:neutral amino acid transport [Process|1sp]; GO:0016324:apical plasma membrane [Component|1sp]; GO:0031526:brush border membrane [Component|1sp]; GO:0140931:neutral L-amino acid:sodium:chloride symporter activity [Function|1sp]; GO:1990297:renal amino acid absorption [Process|1sp]
124045	SPATA33	spermatogenesis associated 33	amniote	240	sparse	1	mouse:Spata33	1	10	spermatogenesis associated 33 | molecular function: protein-containing complex binding | process: mitophagy, intracellular protein localization, fertilization, flagellated sperm motility	GO:0000423:mitophagy [Process|1sp]; GO:0005634:nucleus [Component|1sp]; GO:0005737:cytoplasm [Component|1sp]; GO:0005739:mitochondrion [Component|1sp]; GO:0008104:intracellular protein localization [Process|1sp]; GO:0009566:fertilization [Process|1sp]; GO:0030317:flagellated sperm motility [Process|1sp]; GO:0044877:protein-containing complex binding [Function|1sp]; GO:0097225:sperm midpiece [Component|1sp]; GO:0097226:sperm mitochondrial sheath [Component|1sp]
90853	SPOCD1	SPOC domain containing 1	bilaterian	331	sparse	1	mouse:Spocd1	1	10	SPOC domain containing 1 | molecular function: protein-macromolecule adaptor activity | process: regulation of alternative mRNA splicing, via spliceosome, spermatogenesis, transposable element silencing by piRNA-mediated heterochromatin formation, gene silencing by piRNA-directed DNA methylation	GO:0000381:regulation of alternative mRNA splicing, via spliceosome [Process|1sp]; GO:0000785:chromatin [Component|1sp]; GO:0005634:nucleus [Component|1sp]; GO:0005694:chromosome [Component|1sp]; GO:0007283:spermatogenesis [Process|1sp]; GO:0030532:small nuclear ribonucleoprotein complex [Component|1sp]; GO:0030674:protein-macromolecule adaptor activity [Function|1sp]; GO:0141006:transposable element silencing by piRNA-mediated heterochromatin formation [Process|1sp]; GO:0141176:gene silencing by piRNA-directed DNA methylation [Process|1sp]; GO:0141196:transposable element silencing by piRNA-mediated DNA methylation [Process|1sp]
9901	SRGAP3	SLIT-ROBO Rho GTPase activating protein 3	bilaterian	839	sparse	2	worm:srgp-1	1	10	Rho-GAP domain-containing protein | molecular function: GTPase activator activity, small GTPase binding | process: positive regulation of cell-cell adhesion, negative regulation of cell migration, negative regulation of phagocytosis, engulfment, regulation of cell-cell adhesion involved in gastrulation	GO:0005096:GTPase activator activity [Function|1sp]; GO:0005912:adherens junction [Component|1sp]; GO:0005938:cell cortex [Component|1sp]; GO:0022409:positive regulation of cell-cell adhesion [Process|1sp]; GO:0030336:negative regulation of cell migration [Process|1sp]; GO:0031267:small GTPase binding [Function|1sp]; GO:0060101:negative regulation of phagocytosis, engulfment [Process|1sp]; GO:0070587:regulation of cell-cell adhesion involved in gastrulation [Process|1sp]; GO:0098978:glutamatergic synapse [Component|1sp]; GO:0150052:regulation of postsynapse assembly [Process|1sp]
342667	STAC2	SH3 and cysteine rich domain 2	bilaterian	430	sparse	1	mouse:Stac2	1	10	SH3 and cysteine rich domain 2 | molecular function: calcium channel regulator activity | process: locomotion, negative regulation of osteoclast differentiation, positive regulation of cell size, calcium ion transmembrane transport	GO:0005246:calcium channel regulator activity [Function|1sp]; GO:0005886:plasma membrane [Component|1sp]; GO:0009898:cytoplasmic side of plasma membrane [Component|1sp]; GO:0040011:locomotion [Process|1sp]; GO:0045121:membrane raft [Component|1sp]; GO:0045671:negative regulation of osteoclast differentiation [Process|1sp]; GO:0045793:positive regulation of cell size [Process|1sp]; GO:0070588:calcium ion transmembrane transport [Process|1sp]; GO:1901387:positive regulation of voltage-gated calcium channel activity [Process|1sp]; GO:1903078:positive regulation of protein localization to plasma membrane [Process|1sp]
6876	TAGLN	transgelin	eukaryote	813	sparse	2	yeast:SCP1	1	10	Scp1p | molecular function: protein-macromolecule adaptor activity, actin filament binding, juvenile hormone response element binding | process: actin filament organization, myoblast fusion, juvenile hormone mediated signaling pathway, cellular response to platelet-derived growth factor stimulus	GO:0005737:cytoplasm [Component|1sp]; GO:0007015:actin filament organization [Process|1sp]; GO:0007520:myoblast fusion [Process|1sp]; GO:0030479:actin cortical patch [Component|1sp]; GO:0030674:protein-macromolecule adaptor activity [Function|1sp]; GO:0035626:juvenile hormone mediated signaling pathway [Process|1sp]; GO:0036120:cellular response to platelet-derived growth factor stimulus [Process|1sp]; GO:0051015:actin filament binding [Function|1sp]; GO:0070594:juvenile hormone response element binding [Function|1sp]; GO:1901739:regulation of myoblast fusion [Process|1sp]
10420	TESK2	testis associated actin remodelling kinase 2	bilaterian	822	sparse	2	rat:Tesk2	1	10	testis associated actin remodelling kinase 2 | molecular function: protein serine/threonine kinase activity | process: protein phosphorylation, actin filament organization, spermatogenesis, actin cytoskeleton organization	GO:0004674:protein serine/threonine kinase activity [Function|1sp]; GO:0005634:nucleus [Component|1sp]; GO:0005829:cytosol [Component|1sp]; GO:0006468:protein phosphorylation [Process|1sp]; GO:0007015:actin filament organization [Process|1sp]; GO:0007283:spermatogenesis [Process|1sp]; GO:0030036:actin cytoskeleton organization [Process|1sp]; GO:0045177:apical part of cell [Component|1sp]; GO:0045873:negative regulation of sevenless signaling pathway [Process|1sp]; GO:0048041:focal adhesion assembly [Process|1sp]
55852	TEX2	testis expressed 2	eukaryote	839	sparse	0	yeast:NVJ2	1	10	Nvj2p | molecular function: lipid carrier activity, protein binding, lipid binding | process: ER to Golgi ceramide transport	GO:0005319:lipid carrier activity [Function|1sp]; GO:0005515:protein binding [Function|1sp]; GO:0005783:endoplasmic reticulum [Component|1sp]; GO:0008289:lipid binding [Function|1sp]; GO:0012505:endomembrane system [Component|1sp]; GO:0031965:nuclear membrane [Component|1sp]; GO:0033116:endoplasmic reticulum-Golgi intermediate compartment membrane [Component|1sp]; GO:0035621:ER to Golgi ceramide transport [Process|1sp]; GO:0071561:nucleus-vacuole junction [Component|1sp]; GO:0071944:cell periphery [Component|1sp]
113419	TEX261	testis expressed 261	eukaryote	831	uncharacterized	0	yeast:SVP26	1	10	Svp26p | molecular function: COPII receptor activity | process: endoplasmic reticulum to Golgi vesicle-mediated transport, fungal-type cell wall organization, positive regulation of apoptotic process, protein retention in Golgi apparatus	GO:0000139:Golgi membrane [Component|1sp]; GO:0005783:endoplasmic reticulum [Component|1sp]; GO:0005789:endoplasmic reticulum membrane [Component|1sp]; GO:0006888:endoplasmic reticulum to Golgi vesicle-mediated transport [Process|1sp]; GO:0030134:COPII-coated ER to Golgi transport vesicle [Component|1sp]; GO:0031505:fungal-type cell wall organization [Process|1sp]; GO:0043065:positive regulation of apoptotic process [Process|1sp]; GO:0045053:protein retention in Golgi apparatus [Process|1sp]; GO:0090110:COPII-coated vesicle cargo loading [Process|1sp]; GO:0097020:COPII receptor activity [Function|1sp]
7032	TFF2	trefoil factor 2	tetrapod	230	sparse	1	mouse:Tff2	1	10	trefoil factor 2 (spasmolytic protein 1) | molecular function: CXCR4 chemokine receptor binding | process: positive regulation of cell population proliferation, calcium-mediated signaling, regulation of cell migration, negative regulation of macrophage activation	GO:0005576:extracellular region [Component|1sp]; GO:0008284:positive regulation of cell population proliferation [Process|1sp]; GO:0019722:calcium-mediated signaling [Process|1sp]; GO:0030334:regulation of cell migration [Process|1sp]; GO:0031723:CXCR4 chemokine receptor binding [Function|1sp]; GO:0043031:negative regulation of macrophage activation [Process|1sp]; GO:0050728:negative regulation of inflammatory response [Process|1sp]; GO:0060455:negative regulation of gastric acid secretion [Process|1sp]; GO:0070098:chemokine-mediated signaling pathway [Process|1sp]; GO:0070374:positive regulation of ERK1 and ERK2 cascade [Process|1sp]
202915	TMEM184A	transmembrane protein 184A	eukaryote	854	sparse	0	mouse:Tmem184a	1	10	transmembrane protein 184a | process: germ-line sex determination, regulation of protein localization, protein targeting to vacuolar membrane, regulation of secretion	GO:0005768:endosome [Component|1sp]; GO:0005774:vacuolar membrane [Component|1sp]; GO:0005783:endoplasmic reticulum [Component|1sp]; GO:0005886:plasma membrane [Component|1sp]; GO:0018992:germ-line sex determination [Process|1sp]; GO:0030667:secretory granule membrane [Component|1sp]; GO:0031901:early endosome membrane [Component|1sp]; GO:0032880:regulation of protein localization [Process|1sp]; GO:0044395:protein targeting to vacuolar membrane [Process|1sp]; GO:0051046:regulation of secretion [Process|1sp]
23585	TMEM50A	transmembrane protein 50A	eukaryote	864	sparse	2	yeast:VPS68	1	10	Vps68p | process: protein targeting to vacuole, late endosome to vacuole transport via multivesicular body sorting pathway, retrograde transport, endosome to Golgi	GO:0000329:fungal-type vacuole membrane [Component|1sp]; GO:0005737:cytoplasm [Component|1sp]; GO:0005739:mitochondrion [Component|1sp]; GO:0005768:endosome [Component|1sp]; GO:0006623:protein targeting to vacuole [Process|1sp]; GO:0032511:late endosome to vacuole transport via multivesicular body sorting pathway [Process|1sp]; GO:0034424:Vps55/Vps68 complex [Component|1sp]; GO:0042147:retrograde transport, endosome to Golgi [Process|1sp]; GO:0043025:neuronal cell body [Component|1sp]; GO:0097386:glial cell projection [Component|1sp]
84283	TMEM79	transmembrane protein 79	jawed_vertebrate	687	sparse	2	mouse:Tmem79	1	10	transmembrane protein 79 | process: epithelial cell maturation, hair follicle morphogenesis, cuticle development, regulated exocytosis	GO:0002070:epithelial cell maturation [Process|1sp]; GO:0005737:cytoplasm [Component|1sp]; GO:0005765:lysosomal membrane [Component|1sp]; GO:0031069:hair follicle morphogenesis [Process|1sp]; GO:0032588:trans-Golgi network membrane [Component|1sp]; GO:0042335:cuticle development [Process|1sp]; GO:0045055:regulated exocytosis [Process|1sp]; GO:0045684:positive regulation of epidermis development [Process|1sp]; GO:0061436:establishment of skin barrier [Process|1sp]; GO:0070268:cornification [Process|1sp]
