locus_a,locus_b,category,biological_rationale
JCVISYN3A_0376,JCVISYN3A_0493,D2_random_baseline,"negative control: no shared SBML metabolite, ESM-2 cosine < 0.88"
JCVISYN3A_0440,JCVISYN3A_0692,D2_random_baseline,"negative control: no shared SBML metabolite, ESM-2 cosine < 0.88"
JCVISYN3A_0029,JCVISYN3A_0623,D2_random_baseline,"negative control: no shared SBML metabolite, ESM-2 cosine < 0.88"
JCVISYN3A_0777,JCVISYN3A_0874,D2_random_baseline,"negative control: no shared SBML metabolite, ESM-2 cosine < 0.88"
JCVISYN3A_0004,JCVISYN3A_0777,D2_random_baseline,"negative control: no shared SBML metabolite, ESM-2 cosine < 0.88"
JCVISYN3A_0305,JCVISYN3A_0332,D2_random_baseline,"negative control: no shared SBML metabolite, ESM-2 cosine < 0.88"
JCVISYN3A_0332,JCVISYN3A_0400,D2_random_baseline,"negative control: no shared SBML metabolite, ESM-2 cosine < 0.88"
JCVISYN3A_0248,JCVISYN3A_0726,D2_random_baseline,"negative control: no shared SBML metabolite, ESM-2 cosine < 0.88"
JCVISYN3A_0296,JCVISYN3A_0350,D2_random_baseline,"negative control: no shared SBML metabolite, ESM-2 cosine < 0.88"
JCVISYN3A_0033,JCVISYN3A_0692,D2_random_baseline,"negative control: no shared SBML metabolite, ESM-2 cosine < 0.88"
JCVISYN3A_0388,JCVISYN3A_0726,D2_random_baseline,"negative control: no shared SBML metabolite, ESM-2 cosine < 0.88"
JCVISYN3A_0029,JCVISYN3A_0286,D2_random_baseline,"negative control: no shared SBML metabolite, ESM-2 cosine < 0.88"
JCVISYN3A_0143,JCVISYN3A_0874,D2_random_baseline,"negative control: no shared SBML metabolite, ESM-2 cosine < 0.88"
JCVISYN3A_0434,JCVISYN3A_0439,D2_random_baseline,"negative control: no shared SBML metabolite, ESM-2 cosine < 0.88"
JCVISYN3A_0080,JCVISYN3A_0732,D2_random_baseline,"negative control: no shared SBML metabolite, ESM-2 cosine < 0.88"
JCVISYN3A_0511,JCVISYN3A_0838,D2_random_baseline,"negative control: no shared SBML metabolite, ESM-2 cosine < 0.88"
JCVISYN3A_0326,JCVISYN3A_0913,D2_random_baseline,"negative control: no shared SBML metabolite, ESM-2 cosine < 0.88"
JCVISYN3A_0605,JCVISYN3A_0838,D2_random_baseline,"negative control: no shared SBML metabolite, ESM-2 cosine < 0.88"
JCVISYN3A_0593,JCVISYN3A_0872,D2_random_baseline,"negative control: no shared SBML metabolite, ESM-2 cosine < 0.88"
JCVISYN3A_0525,JCVISYN3A_0593,D2_random_baseline,"negative control: no shared SBML metabolite, ESM-2 cosine < 0.88"
JCVISYN3A_0329,JCVISYN3A_0346,D2_random_baseline,"negative control: no shared SBML metabolite, ESM-2 cosine < 0.88"
JCVISYN3A_0376,JCVISYN3A_0732,D2_random_baseline,"negative control: no shared SBML metabolite, ESM-2 cosine < 0.88"
JCVISYN3A_0409,JCVISYN3A_0439,D2_random_baseline,"negative control: no shared SBML metabolite, ESM-2 cosine < 0.88"
JCVISYN3A_0054,JCVISYN3A_0146,D2_random_baseline,"negative control: no shared SBML metabolite, ESM-2 cosine < 0.88"
JCVISYN3A_0697,JCVISYN3A_0732,D2_random_baseline,"negative control: no shared SBML metabolite, ESM-2 cosine < 0.88"
JCVISYN3A_0326,JCVISYN3A_0525,D2_random_baseline,"negative control: no shared SBML metabolite, ESM-2 cosine < 0.88"
