deg_dataset,deg_gene_id,gene_name,cog,func_class,description,organism,refseq,condition,uniprot,gi
DEG1005,DEG10050372,HI1030,COG3090G,-,hypothetical protein,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,P44994,16272964
DEG1005,DEG10050373,HI1031,COG2055C,-,"2,3-diketo-L-gulonate reductase",Haemophilus influenzae Rd KW20,NC_000907,Rich medium,P44995,16272965
DEG1005,DEG10050374,HI1037,COG0121R,-,hypothetical protein,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,P44098,16272971
DEG1005,DEG10050375,HinDVM,COG0270L,-,modification methylase,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,P45000,16272974
DEG1005,DEG10050376,napF,COG1143C,-,ferredoxin-type protein,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,P44101,16272975
DEG1005,DEG10050377,HI1044,COG3381R,-,twin-argninine leader-binding protein DmsD,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,P44102,16272976
DEG1005,DEG10050378,dmsC,COG3302R,-,anaerobic dimethyl sulfoxide reductase chain C,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,P45002,16272977
DEG1005,DEG10050379,dmsB,COG0437C,-,anaerobic dimethyl sulfoxide reductase chain B,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,P45003,16272978
DEG1005,DEG10050380,dmsA,COG0243C,-,anaerobic dimethyl sulfoxide reductase chain A,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,P45004,16272979
DEG1005,DEG10050381,merT,-,-,mercuric ion transport protein,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,Q57347,16272981
DEG1005,DEG10050382,HI1053,COG0599S,-,hypothetical protein,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,Q57498,16272985
DEG1005,DEG10050383,HI1054,COG3421S,-,hypothetical protein,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,-,16272986
DEG1005,DEG10050384,HI1055,COG3421S,-,type III restriction-modification system endonuclease-like protein,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,-,30995419
DEG1005,DEG10050385,rnhB,COG0164L,-,ribonuclease HII,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,P43808,16272990
DEG1005,DEG10050386,fabZ,COG0764I,-,(3R)-hydroxymyristol (acyl carrier protein) dehydrase,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,P45012,16272993
DEG1005,DEG10050387,pyrH,COG0528F,-,uridylate kinase,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,P43890,16272996
DEG1005,DEG10050388,nrfB,-,-,cytochrome c-type protein NrfB,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,P45016,30995421
DEG1005,DEG10050389,nrfA,COG3303P,-,cytochrome c nitrite reductase,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,P45017,161350017
DEG1005,DEG10050390,cydB,COG1294C,-,cytochrome D ubiquinol oxidase subunit II,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,P45020,16273004
DEG1005,DEG10050391,cydA,COG1271C,-,cytochrome D ubiquinol oxidase subunit I,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,P45021,16273005
DEG1005,DEG10050392,pyrG,COG0504F,-,CTP synthetase,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,P44341,16273006
DEG1005,DEG10050393,HI1086,COG0767Q,-,hypothetical protein,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,P45030,16273014
DEG1005,DEG10050394,HI1087,COG1127Q,-,ABC transporter ATP-binding protein,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,P45031,16273015
DEG1005,DEG10050395,ccmE,COG2332O,-,cytochrome c-type biogenesis protein CcmE,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,P45036,16273021
DEG1005,DEG10050396,ccmF,COG1138O,-,cytochrome C-type biogenesis protein,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,P45037,16273022
DEG1005,DEG10050397,ccmH,COG3088O,-,cytochrome C-type biogenesis protein,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,-,16273642
DEG1005,DEG10050398,ligN/ligA,COG0272L,-,NAD-dependent DNA ligase LigA,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,P43813,30995424
DEG1005,DEG10050399,zipA,COG3115D,-,cell division protein ZipA,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,P44113,16273027
DEG1005,DEG10050400,cysZ,COG2981E,-,putative sulfate transport protein CysZ,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,P45039,16273028
DEG1005,DEG10050401,rfaF,COG0859M,-,ADP-heptose-LPS heptosyltransferase II,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,P45042,16273031
DEG1005,DEG10050402,nhaC,COG1757C,-,Na+/H+ antiporter,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,Q57007,16273033
DEG1005,DEG10050403,comM,COG0606O,-,competence protein,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,P45049,16273042
DEG1005,DEG10050404,engB,COG0218R,-,GTPase EngB,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,P46453,16273043
DEG1005,DEG10050405,lapB,COG2990S,-,membrane protein,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,Q57273,16273044
DEG1005,DEG10050406,ftsL,COG3116D,-,cell division protein,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,P45058,16273057
DEG1005,DEG10050407,murD,COG0771M,-,UDP-N-acetylmuramoyl-L-alanyl-D-glutamate synthetase,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,P45063,16273062
DEG1005,DEG10050408,murG,COG0707M,-,N-acetylglucosaminyl transferase,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,P45065,16273064
DEG1005,DEG10050409,murC,COG0773M,-,UDP-N-acetylmuramate--L-alanine ligase,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,P45066,16273065
DEG1005,DEG10050410,ddl,COG1181M,-,D-alanine--D-alanine ligase,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,P44405,16273066
DEG1005,DEG10050411,ftsQ,COG1589M,-,cell division protein,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,P45067,16273067
DEG1005,DEG10050412,ftsA,COG0849D,-,cell division protein,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,P45068,16273068
DEG1005,DEG10050413,ftsZ,COG0206D,-,cell division protein FtsZ,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,P45069,16273069
DEG1005,DEG10050414,pheA,COG0077E,-,chorismate mutase/prephenate dehydratase,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,P43900,16273071
DEG1005,DEG10050415,HI1146,COG1660R,-,hypothetical protein,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,P45071,30995425
DEG1005,DEG10050416,ptsN,COG1762GT,-,nitrogen regulatory IIA protein,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,P45072,16273073
DEG1005,DEG10050417,HI1151,COG3028S,-,hypothetical protein,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,P45076,16273076
DEG1005,DEG10050418,pmbA,COG0312R,-,PmbA,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,P45077,16273077
DEG1005,DEG10050419,hemH,COG0276H,-,ferrochelatase,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,P43868,16273084
DEG1005,DEG10050420,HI1161,COG2050Q,-,hypothetical protein,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,P45083,16273085
DEG1005,DEG10050421,trpG,COG0512EH,-,para-aminobenzoate synthase component II,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,P44339,16273095
DEG1005,DEG10050422,sprT,COG3091S,-,hypothetical protein,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,P44119,16273097
DEG1005,DEG10050423,artI,COG0834ET,-,arginine ABC transporter periplasmic-binding protein,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,P45091,16273101
DEG1005,DEG10050424,artP,COG4161E,-,arginine transporter ATP-binding subunit,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,P45092,16273102
DEG1005,DEG10050425,dppF,COG4608E,-,dipeptide transporter ATP-binding subunit,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,P45094,16273106
DEG1005,DEG10050426,dppD,COG0444EP,-,dipeptide transporter ATP-binding subunit,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,P45095,16273107
DEG1005,DEG10050427,uvrD,COG0210L,-,DNA-dependent helicase II,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,Q02322,16273110
DEG1005,DEG10050428,HI1189,COG0602O,-,hypothetical protein,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,P45097,16273111
DEG1005,DEG10050429,gcvA,COG0583K,-,transcription activator,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,P45099,16273646
DEG1005,DEG10050430,HI1201,COG2890J,-,N5-glutamine S-adenosyl-L-methionine-dependent methyltransferase,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,P45106,16273121
DEG1005,DEG10050431,HI1202,COG2840S,-,hypothetical protein,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,P44126,30995431
DEG1005,DEG10050432,HI1205,COG3092S,-,hypothetical protein,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,P44127,16273125
DEG1005,DEG10050433,mdh,COG0039C,-,malate dehydrogenase,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,P44427,16273130
DEG1005,DEG10050434,dsbC,COG1651O,-,thiol-disulfide interchange protein,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,P45111,16273132
DEG1005,DEG10050435,cmkA/cmk,COG0283F,-,cytidylate kinase,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,P43892,30995433
DEG1005,DEG10050436,rpsA,COG0539J,-,30S ribosomal protein S1,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,Q48082,16273139
DEG1005,DEG10050437,HI1222,COG3771S,-,hypothetical protein,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,P44129,16273141
DEG1005,DEG10050438,HI1223,COG2956G,-,hypothetical protein,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,P44130,16273142
DEG1005,DEG10050439,apt,COG0503F,-,adenine phosphoribosyltransferase,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,P43856,16273149
DEG1005,DEG10050440,lpdA,COG1249C,-,dihydrolipoamide dehydrogenase,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,P43784,16273150
DEG1005,DEG10050441,aceF,COG0508C,-,dihydrolipoamide acetyltransferase,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,P45118,16273151
DEG1005,DEG10050442,mgsA,COG1803G,-,methylglyoxal synthase,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,P45120,16273153
DEG1005,DEG10050443,bcr,COG2814G,-,bicyclomycin/multidrug efflux system,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,P45123,16273161
DEG1005,DEG10050444,rsuA,COG1187J,-,16S pseudouridylate 516 synthase,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,P45124,16273162
DEG1005,DEG10050445,HI1244,COG3955M,-,hypothetical protein,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,P44134,16273163
DEG1005,DEG10050446,maeB,COG0281C,-,malic enzyme,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,P43837,16273164
DEG1005,DEG10050447,HI1246,COG1368M,-,hypothetical protein,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,P44135,16273165
DEG1005,DEG10050448,uvrB,COG0556L,-,excinuclease ABC subunit B,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,P45125,16273166
DEG1005,DEG10050449,HI1248,COG2215R,-,hypothetical protein,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,P44136,16273167
DEG1005,DEG10050450,HI1249,COG3683R,-,hypothetical protein,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,P44137,16273168
DEG1005,DEG10050451,HI1256,COG1444R,-,hypothetical protein,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,-,16273175
DEG1005,DEG10050452,mfd,COG1197LK,-,transcription-repair coupling factor,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,P45128,16273176
DEG1005,DEG10050453,accD,COG0777I,-,acetyl-CoA carboxylase subunit beta,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,P43778,16273178
DEG1005,DEG10050454,tehB,COG3615P,-,tellurite resistance protein TehB,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,P45134,16273190
DEG1005,DEG10050455,metG,COG0143J,-,methionyl-tRNA synthetase,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,P43828,16273191
DEG1005,DEG10050456,HI1278,COG0778C,-,NAD(P)H-flavin oxidoreductase,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,Q57431,16273193
DEG1005,DEG10050457,HI1282,COG0779S,-,hypothetical protein,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,P45138,30995436
DEG1005,DEG10050458,hsdR,COG0610V,-,type I restriction enzyme,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,O05052,16273199
DEG1005,DEG10050459,hsdM,COG0286V,-,type I modification enzyme,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,Q57168,30995437
DEG1005,DEG10050460,truB,COG0130J,-,tRNA pseudouridine synthase B,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,P45142,16273203
DEG1005,DEG10050461,queF,COG2904S,-,7-cyano-7-deazaguanine reductase,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,P44153,16273205
DEG1005,DEG10050462,csd,COG0520E,-,NifS,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,Q57476,30995438
DEG1005,DEG10050463,HI1298,COG1346M,-,hypothetical protein,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,P45146,16273211
DEG1005,DEG10050464,uup-A,COG0488R,-,ABC transporter ATPase component,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,Q57242,16273212
DEG1005,DEG10050465,pgpA,COG1267I,-,phosphatidylglycerophosphatase A,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,P44157,16273218
DEG1005,DEG10050466,HI1307,COG1280E,-,hypothetical protein,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,Q57320,16273219
DEG1005,DEG10050467,dapB,COG0289E,-,dihydrodipicolinate reductase,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,P45153,16273220
DEG1005,DEG10050468,pheS,COG0016J,-,phenylalanyl-tRNA synthetase subunit alpha,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,P43819,16273223
DEG1005,DEG10050469,pheT,COG0072J,-,phenylalanyl-tRNA synthetase subunit beta,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,P43820,16273224
DEG1005,DEG10050470,ihfA/himA,COG0776L,-,integration host factor alpha-subunit,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,P43723,16273225
DEG1005,DEG10050471,nlpC,COG0791M,-,lipoprotein,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,Q57223,16273226
DEG1005,DEG10050472,HI1317,COG0676G,-,hypothetical protein,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,P44160,16273229
DEG1005,DEG10050473,infC,COG0290J,-,translation initiation factor IF-3,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,P43814,16273648
DEG1005,DEG10050474,rpmI,COG0291J,-,50S ribosomal protein L35,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,P67917,16273679
DEG1005,DEG10050475,rplT,COG0292J,-,50S ribosomal protein L20,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,P44358,16273230
DEG1005,DEG10050476,recB,COG1074L,-,exodeoxyribonuclease V beta chain,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,P45157,16273231
DEG1005,DEG10050477,HI1323,COG3120S,-,hypothetical protein,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,P44161,16273233
DEG1005,DEG10050478,lon-B,COG1067O,-,lon protease,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,P43865,16273234
DEG1005,DEG10050479,fabA,COG0764I,-,3-hydroxydecanoyl-(acyl carrier protein) dehydratase,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,P45159,16273235
DEG1005,DEG10050480,dacB,COG2027M,-,D-alanyl-D-alanine carboxypeptidase/endopeptidase,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,P45161,16273241
DEG1005,DEG10050481,rrmJ,COG0293J,-,23S rRNA methyltransferase J,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,P45162,16273244
DEG1005,DEG10050482,HI1340,COG2904S,-,hypothetical protein,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,P44165,16273250
DEG1005,DEG10050483,uup-B,COG0488R,-,ABC transporter ATP-binding protein,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,P45167,16273253
DEG1005,DEG10050484,pepT,COG2195E,-,peptidase T,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,P45172,16273258
DEG1005,DEG10050485,HI1349,COG0783P,-,hypothetical protein,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,P45173,16273259
DEG1005,DEG10050486,cdd,COG0295F,-,cytidine deaminase,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,P44325,16273260
DEG1005,DEG10050487,glnS,COG0008J,-,glutaminyl-tRNA synthetase,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,P43831,16273264
DEG1005,DEG10050488,malQ,COG1640G,-,4-alpha-glucanotransferase,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,P45176,16273266
DEG1005,DEG10050489,glgB,COG0296G,-,glycogen branching enzyme,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,P45177,16273267
DEG1005,DEG10050490,HI1364,COG0583K,-,transcriptional regulator,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,P43011,16273274
DEG1005,DEG10050491,topA,COG0550L,-,DNA topoisomerase I,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,P43012,16273275
DEG1005,DEG10050492,acpD,COG1182I,-,acyl carrier protein phosphodiesterase,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,P43013,16273276
DEG1005,DEG10050493,thrS,COG0441J,-,threonyl-tRNA synthetase,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,P43014,16273277
DEG1005,DEG10050494,pqqL,COG0612R,-,zinc protease,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,P45181,16273278
DEG1005,DEG10050495,HI1371,COG2920P,-,desulfoviridin gamma subunit,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,P45184,16273281
DEG1005,DEG10050496,mukE/kicA,COG3095D,-,condesin subunit E,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,P45186,16273284
DEG1005,DEG10050497,mukB,COG3096D,-,cell division protein MukB,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,P45187,16273285
DEG1005,DEG10050498,HI1375,COG3586S,-,hypothetical protein,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,P44169,16273286
DEG1005,DEG10050499,HI1386,-,-,hypothetical protein,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,P44171,16273295
DEG1005,DEG10050500,trpG,COG0512EH,-,anthranilate synthase component II,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,P71381,16273297
DEG1005,DEG10050501,trpD,COG0547E,-,anthranilate phosphoribosyltransferase,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,P43858,16273299
DEG1005,DEG10050502,valS,COG0525J,-,valyl-tRNA synthetase,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,P43834,16273301
DEG1005,DEG10050503,HI1394,COG3097S,-,hypothetical protein,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,P44172,16273304
DEG1005,DEG10050504,holC,COG2927L,-,DNA polymerase III subunit chi,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,P43749,16273306
DEG1005,DEG10050505,fumC,COG0114C,-,fumarate hydratase,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,P71384,16273307
DEG1005,DEG10050506,HI1399,-,-,hypothetical protein,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,P44175,16273308
DEG1005,DEG10050507,trpH,COG0613R,-,hypothetical protein,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,P44176,16273309
DEG1005,DEG10050508,yhxB,-,-,tail fibre protein/phosphomannomutase,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,P44178,16273312
DEG1005,DEG10050509,HI1409,COG3567S,-,hypothetical protein,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,P44183,16273316
DEG1005,DEG10050510,HI1410,COG1783R,-,terminase large subunit-like protein,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,P44184,16273317
DEG1005,DEG10050511,HI1413,-,-,hypothetical protein,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,P44185,16273320
DEG1005,DEG10050512,HI1414,-,-,hypothetical protein,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,P44186,16273321
DEG1005,DEG10050513,HI1415,COG3179R,-,hypothetical protein,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,P44187,16273322
DEG1005,DEG10050514,HI1418,COG3617K,-,hypothetical protein,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,P44189,30995448
DEG1005,DEG10050515,HI1419,COG3657S,-,hypothetical protein,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,P44190,16273325
DEG1005,DEG10050516,HI1422,COG3561K,-,hypothetical protein,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,P44193,16273327
DEG1005,DEG10050517,HI1427,COG5266P,-,hypothetical protein,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,P44196,16273332
DEG1005,DEG10050518,purN,COG0299F,-,phosphoribosylglycinamide formyltransferase,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,P43846,16273333
DEG1005,DEG10050519,trpB,COG0133E,-,tryptophan synthase subunit beta,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,P43760,16273336
DEG1005,DEG10050520,trpA,COG0159E,-,tryptophan synthase subunit alpha,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,P43759,16273337
DEG1005,DEG10050521,usg/usg1,COG0136E,-,aspartate-semialdehyde dehydrogenase,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,P45201,16273338
DEG1005,DEG10050522,HI1436,COG3098S,-,hypothetical protein,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,Q57152,16273343
DEG1005,DEG10050523,ispA,COG0142H,-,geranyltranstransferase,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,P45204,16273345
DEG1005,DEG10050524,dxs,COG1154HI,-,1-deoxy-D-xylulose-5-phosphate synthase,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,P45205,16273346
DEG1005,DEG10050525,sspB,COG2969R,-,ClpXP protease specificity-enhancing factor,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,P45206,16273347
DEG1005,DEG10050526,rpsI,COG0103J,-,30S ribosomal protein S9,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,P44388,16273349
DEG1005,DEG10050527,rplM,COG0102J,-,50S ribosomal protein L13,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,P44387,16273350
DEG1005,DEG10050528,moeA,COG0303H,-,molybdopterin biosynthesis protein,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,P45210,16273355
DEG1005,DEG10050529,moeB,COG0476H,-,molybdopterin biosynthesis protein MoeB,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,P45211,16273356
DEG1005,DEG10050530,HI1450,COG3099S,-,dsDNA-mimic protein,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,P44199,16273357
DEG1005,DEG10050531,purL,COG0526OC,-,phosphoribosylformylglycinamidine synthase,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,Q57127,16273359
DEG1005,DEG10050532,HI1456,-,-,hypothetical protein,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,P44203,30995450
DEG1005,DEG10050533,HI1457,COG3637M,-,opacity protein,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,Q57201,16273363
DEG1005,DEG10050534,HI1459,COG1595K,-,RNA polymerase sigma factor,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,P45215,30995451
DEG1005,DEG10050535,HI1462,COG1538MU,-,hypothetical protein,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,P45217,16273365
DEG1005,DEG10050536,mrsA-B/mrsA,COG1109G,-,MrsA,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,P45164,16273368
DEG1005,DEG10050537,folP-B/folP-2,COG0294H,-,dihydropteroate synthase,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,P43776,16273369
DEG1005,DEG10050538,rpsO-B/rpsO,COG0184J,-,30S ribosomal protein S15,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,P44389,16273372
DEG1005,DEG10050539,HI1469,COG0725P,-,hypothetical protein,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,-,16273373
DEG1005,DEG10050540,HI1470,COG1120PH,-,iron chelatin ABC transporter ATP-binding protein,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,Q57399,16273374
DEG1005,DEG10050541,HI1471,COG0609P,-,iron chelatin ABC transporter permease protein,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,Q57130,16273375
DEG1005,DEG10050542,HI1474,COG3842E,-,ABC transporter ATP-binding protein,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,Q57213,16273378
DEG1005,DEG10050543,HI1476,COG2932K,-,transcriptional regulatory protein,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,P44207,16273380
DEG1005,DEG10050544,muA,-,-,transposase,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,O05069,16273382
DEG1005,DEG10050545,HI1480,-,-,hypothetical protein,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,P44209,16273384
DEG1005,DEG10050546,HI1487,-,-,hypothetical protein,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,P44214,16273390
DEG1005,DEG10050547,HI1494,COG3023V,-,N-acetylmuramoyl-L-alanine amidase,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,-,30995453
DEG1005,DEG10050548,HI1505,COG4397R,-,hypothetical protein,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,P44227,16273407
DEG1005,DEG10050549,HI1511,COG4386R,-,sheath protein gpL,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,P44233,16273413
DEG1005,DEG10050550,HI1521,COG3778S,-,hypothetical protein,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,P44241,30995455
DEG1005,DEG10050551,parE,COG0187L,-,DNA topoisomerase IV subunit B,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,P43703,16273428
DEG1005,DEG10050552,rimK,COG0189HJ,-,ribosomal protein S6 modification protein,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,P45241,16273431
DEG1005,DEG10050553,HI1534,COG4121S,-,hypothetical protein,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,-,16273434
DEG1005,DEG10050554,HI1535,"COG0665E,COG4121S",-,hypothetical protein,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,-,16273435
DEG1005,DEG10050555,HI1542,COG0778C,-,hypothetical protein,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,P45244,16273442
DEG1005,DEG10050556,lolE,COG4591M,-,outer membrane-specific lipoprotein transporter subunit LolE,Haemophilus influenzae Rd KW20,NC_000907,Rich medium,P44250,16273448
