locus_tag,mg_homolog_locus,mg_homolog_method,mg_pident,mg_essential,mp_homolog_locus,mp_homolog_method,mp_pident,mp_essential
JCVISYN3A_0804,MG_341,gene_name,,1,MPN516,gene_name,,1
JCVISYN3A_0805,,,,,,,,
JCVISYN3A_0806,MG_362,blast,46.3,1,MPN539,blast,43.0,
JCVISYN3A_0807,MG_361,blast,26.3,1,MPN538,gene_name,,
JCVISYN3A_0809,MG_082,gene_name,,1,MPN220,gene_name,,
JCVISYN3A_0810,MG_081,gene_name,,1,MPN219,gene_name,,
JCVISYN3A_0813,MG_118,gene_name,,1,MPN257,gene_name,,
JCVISYN3A_0814,MG_137,blast,37.3,1,MPN278,blast,37.0,
JCVISYN3A_0817,MG_103,blast,21.9,0,MPN241,blast,26.6,
JCVISYN3A_0818,MG_086,blast,40.2,1,MPN224,gene_name,,
JCVISYN3A_0819,MG_124,gene_name,,1,MPN263,gene_name,,
JCVISYN3A_0820,MG_086,blast,57.6,1,MPN224,gene_name,,
JCVISYN3A_0821,MG_085,blast,34.3,1,MPN223,blast,31.0,
JCVISYN3A_0822,,,,,,,,
JCVISYN3A_0823,,,,,,,,
JCVISYN3A_0824,MG_421,gene_name,,1,MPN619,gene_name,,
JCVISYN3A_0825,MG_073,gene_name,,1,MPN211,gene_name,,
JCVISYN3A_0826,,,,,,,,
JCVISYN3A_0827,,,,,,,,
JCVISYN3A_0828,,,,,,,,
JCVISYN3A_0830,,,,,,,,
JCVISYN3A_0831,MG_058,gene_name,,1,MPN073,gene_name,,
JCVISYN3A_0832,MG_083,gene_name,,1,MPN221,gene_name,,
JCVISYN3A_0833,MG_093,blast,32.5,1,MPN231,gene_name,,
JCVISYN3A_0834,MG_094,blast,35.0,1,MPN232,blast,34.3,
JCVISYN3A_0835,,,,,,,,
JCVISYN3A_0836,,,,,MPN236,blast,28.2,
JCVISYN3A_0837,MG_253,blast,40.4,1,MPN356,blast,39.5,1
JCVISYN3A_0838,MG_252,blast,42.9,0,MPN355,blast,41.7,
JCVISYN3A_0932,MG_325,gene_name,,1,MPN069,gene_name,,
JCVISYN3A_0839,,,,,MPN068,gene_name,,
JCVISYN3A_0840,MG_054,blast,32.6,1,MPN067,gene_name,,
JCVISYN3A_0851,,,,,,,,
JCVISYN3A_0852,,,,,,,,
JCVISYN3A_0853,,,,,,,,
JCVISYN3A_0859,MG_122,gene_name,,1,MPN261,gene_name,,
JCVISYN3A_0870,,,,,,,,
JCVISYN3A_0872,MG_024,gene_name,,0,MPN026,blast,52.6,
JCVISYN3A_0873,,,,,,,,
JCVISYN3A_0874,MG_380,blast,28.3,0,MPN558,blast,37.5,
JCVISYN3A_0875,MG_114,blast,31.9,0,MPN253,gene_name,,
JCVISYN3A_0876,,,,,MPN308,blast,23.6,0
JCVISYN3A_0877,,,,,,,,
JCVISYN3A_0878,,,,,MPN308,blast,24.5,0
JCVISYN3A_0879,MG_071,blast,26.5,1,MPN209,blast,25.1,
JCVISYN3A_0881,MG_061,blast,26.8,0,MPN077,blast,26.5,
JCVISYN3A_0885,MG_379,blast,45.9,1,MPN557,blast,46.2,
JCVISYN3A_0886,,,,,,,,
JCVISYN3A_0887,MG_275,blast,26.4,1,MPN394,blast,26.8,
JCVISYN3A_0906,,,,,,,,
JCVISYN3A_0907,,,,,MPN427,blast,23.5,
JCVISYN3A_0908,MG_464,blast,31.3,1,MPN680,blast,29.9,
JCVISYN3A_0909,MG_465,gene_name,,1,MPN681,gene_name,,
JCVISYN3A_0910,MG_466,blast,65.1,1,MPN682,gene_name,,
